regime,trace_index,trace_id,profile,model,intervals,events,nll_total,nll_per_interval
id,0,id-0000,fast,cfc,93,97,44.013137322023795,0.47325954109703006
id,0,id-0000,fast,gru_dt,93,97,46.30842148326465,0.49794001594908227
id,0,id-0000,fast,lstm_dt,93,97,47.98535461281457,0.5159715549765007
id,0,id-0000,fast,mlp_dt,93,97,48.4902025028852,0.521400026912744
id,0,id-0000,fast,gru_param_matched,93,97,44.93063574730233,0.4831251155623907
id,0,id-0000,fast,constant,93,97,60.46083129358616,0.6501164655224319
id,1,id-0001,robust,cfc,87,60,51.91097111581375,0.5966778289173994
id,1,id-0001,robust,gru_dt,87,60,50.92089039311666,0.5852975907254788
id,1,id-0001,robust,lstm_dt,87,60,51.058480897702076,0.5868790907781848
id,1,id-0001,robust,mlp_dt,87,60,53.42476888422331,0.6140778032669346
id,1,id-0001,robust,gru_param_matched,87,60,51.31864890887333,0.5898695276881992
id,1,id-0001,robust,constant,87,60,56.10290643916018,0.6448609935535653
id,2,id-0002,fast,cfc,89,76,45.12428175000717,0.5070144016854738
id,2,id-0002,fast,gru_dt,89,76,45.22889649013874,0.5081898482038061
id,2,id-0002,fast,lstm_dt,89,76,46.135077026491594,0.5183716519830516
id,2,id-0002,fast,mlp_dt,89,76,47.74678064909407,0.5364806814504952
id,2,id-0002,fast,gru_param_matched,89,76,46.83980300647908,0.5262899214211133
id,2,id-0002,fast,constant,89,76,55.949567889561884,0.6286468302197964
id,3,id-0003,robust,cfc,90,64,52.78086523827679,0.5864540582030754
id,3,id-0003,robust,gru_dt,90,64,53.57411314978435,0.5952679238864929
id,3,id-0003,robust,lstm_dt,90,64,54.01832951365936,0.6002036612628818
id,3,id-0003,robust,mlp_dt,90,64,56.36022641402333,0.6262247379335926
id,3,id-0003,robust,gru_param_matched,90,64,52.594721178745814,0.5843857908749535
id,3,id-0003,robust,constant,90,64,64.15804118659624,0.7128671242955137
id,4,id-0004,fast,cfc,82,102,37.204136393243694,0.4537089804054109
id,4,id-0004,fast,gru_dt,82,102,37.498871903136525,0.45730331589190887
id,4,id-0004,fast,lstm_dt,82,102,38.50988238224005,0.4696327119785372
id,4,id-0004,fast,mlp_dt,82,102,37.66435999523174,0.45932146335648466
id,4,id-0004,fast,gru_param_matched,82,102,39.55308618512772,0.48235470957472826
id,4,id-0004,fast,constant,82,102,59.74712768183262,0.728623508315032
