model,regime,n_traces,intervals,events,nll_per_interval,nll_per_event,rate_mae,rate_rmse,rate_spearman,count_ratio,mark_count_ratios,time_rescaling_ks,time_rescaling_p
ltc_capped,sparse,20,824,1616,1.8872708429469784,0.9623212714036572,0.6803486347198486,0.9260875582695008,0.738575090276174,1.0981111358558628,"{""down"": 4.213724600835482, ""service"": 0.6561256041081548, ""up"": 4.1694177520008955}","{""down"": 0.4272194820318927, ""service"": 0.21712885773713542, ""up"": 0.37895650441944106}","{""down"": 1.9608680414537248e-14, ""service"": 3.542265995531285e-58, ""up"": 7.801189979962475e-11}"
constant,sparse,20,824,1616,1.2848113166954722,0.6551265624734338,0.39494389295578,0.7172319889068604,0.8379574194440146,1.001959587348206,"{""down"": 0.9412081854203284, ""service"": 1.0091545030189937, ""up"": 0.9624018463388906}","{""down"": 0.17605603767409572, ""service"": 0.09074485721640546, ""up"": 0.20230776563342345}","{""down"": 0.009514443392924288, ""service"": 1.9380492644636572e-10, ""up"": 0.0023956586638135212}"
gru_param_matched,id,20,1790,1538,0.4782417157911949,0.5566012166880617,0.2155151069164276,0.4302339851856231,0.8918777605677998,0.9951713771337574,"{""down"": 0.9227191822177532, ""service"": 0.9898668815329734, ""up"": 1.1352467471938177}","{""down"": 0.16055145945810279, ""service"": 0.03572005959745789, ""up"": 0.16683929119173393}","{""down"": 0.018948043251628334, ""service"": 0.07003928060327591, ""up"": 0.014638782084310452}"
gru_param_matched,high_mobility,20,1771,1519,0.749028543909705,0.8732913438209925,0.3144555687904358,0.5174852013587952,0.7998993579932453,0.8753313462435417,"{""down"": 0.7885439275685046, ""service"": 0.8734449670097743, ""up"": 0.9726541056200515}","{""down"": 0.1469763105360773, ""service"": 0.08368074254103325, ""up"": 0.09460987466925566}","{""down"": 0.00021913517887889335, ""service"": 7.943816635961694e-07, ""up"": 0.04853856185424765}"
gru_param_matched,high_congestion,20,1794,802,0.6972087809135449,1.5595917119188272,0.1687520742416381,0.3093736469745636,0.8614947763790479,1.1535974136170557,"{""down"": 0.8289453449072371, ""service"": 1.3007798253887661, ""up"": 0.9144503660131381}","{""down"": 0.2078571095871743, ""service"": 0.0877771913007811, ""up"": 0.09858488072563998}","{""down"": 5.9830705826590976e-05, ""service"": 0.0007554504756457913, ""up"": 0.1923592886758692}"
gru_param_matched,sparse,20,824,1616,1.0610612548275902,0.5410361843922861,0.2444298565387725,0.4685998558998108,0.8830292882514686,1.0137111080077963,"{""down"": 0.879831129548478, ""service"": 1.0269858823305507, ""up"": 0.9633990563808774}","{""down"": 0.2123408328351376, ""service"": 0.040700214466471984, ""up"": 0.15366714868559006}","{""down"": 0.0008398067320541276, ""service"": 0.019191155828073334, ""up"": 0.0408627196491072}"
cfc,paired_sparse,20,810,1538,1.1919714595428492,0.6277613018398621,0.2460189312696457,0.47831961512565613,0.8717298332470786,0.9715694377443921,"{""down"": 0.8723241391380839, ""service"": 0.9761074696988888, ""up"": 1.0160047013455962}","{""down"": 0.14585162636985405, ""service"": 0.05439051608185813, ""up"": 0.08579000208858834}","{""down"": 0.04255544445994325, ""service"": 0.000856867499134126, ""up"": 0.5233620101068246}"
gru_dt,paired_sparse,20,810,1538,1.203658593222518,0.6339164242589334,0.2466718554496765,0.47766974568367004,0.8646092756448671,0.9893043725106385,"{""down"": 0.8751606835935519, ""service"": 0.9845065899548594, ""up"": 1.1655287357832531}","{""down"": 0.15828816417928282, ""service"": 0.04772159201192233, ""up"": 0.08204885578613269}","{""down"": 0.021571748556270635, ""service"": 0.005092364189843924, ""up"": 0.5801688535496415}"
lstm_dt,paired_sparse,20,810,1538,1.2105282058011695,0.6375343606625145,0.2526019811630249,0.4868357181549072,0.8533675684589074,0.9855964209033135,"{""down"": 0.9848687697601541, ""service"": 0.9698487564219304, ""up"": 1.1830350444581463}","{""down"": 0.11788574784342609, ""service"": 0.05849830324479277, ""up"": 0.0891920884702963}","{""down"": 0.15986631955098035, ""service"": 0.0002545848380150507, ""up"": 0.47372904957274464}"
mlp_dt,paired_sparse,20,810,1538,1.2060771342100194,0.6351901682120388,0.2569223940372467,0.4908575117588043,0.8345076294174243,1.0091495984332621,"{""down"": 0.8433668471323642, ""service"": 1.0281787045161759, ""up"": 0.9403760200060832}","{""down"": 0.14243665543660772, ""service"": 0.03758234594320986, ""up"": 0.13753934086803454}","{""down"": 0.05078349302985885, ""service"": 0.04899267819073361, ""up"": 0.0700839634314514}"
ltc_capped,paired_sparse,20,810,1538,1.9624069428835877,1.0335173106213953,0.6654108762741089,0.9334412217140198,0.7181992986326909,1.1536771519492854,"{""down"": 4.0075765879851595, ""service"": 0.7004608007860518, ""up"": 3.9068593203289756}","{""down"": 0.3956992655804234, ""service"": 0.20336856274861348, ""up"": 0.3730242470119916}","{""down"": 6.171664157624102e-13, ""service"": 9.218077016215777e-48, ""up"": 2.989756906012946e-11}"
gru_param_matched,paired_sparse,20,810,1538,1.202906457839493,0.6335203061443364,0.2423577904701233,0.47104406356811523,0.8701258431732661,0.9849211351726737,"{""down"": 0.8501964087793061, ""service"": 0.9945501109135821, ""up"": 1.0019164801681517}","{""down"": 0.1920952263184854, ""service"": 0.04686904915265361, ""up"": 0.11222670079999886}","{""down"": 0.0025585322534996497, ""service"": 0.0062889939626506125, ""up"": 0.2122981851205529}"
constant,paired_sparse,20,810,1538,1.412877561503713,0.7441032671118385,0.4164043962955475,0.7711379528045654,0.8111529348429716,1.0527741828816561,"{""down"": 0.8976337324566308, ""service"": 1.0777526188611928, ""up"": 0.8988470074948282}","{""down"": 0.1651710248687569, ""service"": 0.06760683994971556, ""up"": 0.1923293880430067}","{""down"": 0.014457600855823299, ""service"": 1.2592209712498348e-05, ""up"": 0.0029224141067473197}"
