regime,hazard_model,n_scenarios,semantic_advantage_mean,semantic_advantage_ci_lo,semantic_advantage_ci_hi
id,cfc,6,-0.0013312727656168341,-0.022303363857360235,0.019349266483913732
id,constant,6,0.014707755841470438,-0.04747015038319166,0.07813315720220225
id,gru_dt,6,0.011550834338191108,-0.01214238548396745,0.03493376981982462
id,gru_param_matched,6,0.029732642894439044,0.0006206673601474958,0.06233721845752965
id,oracle,6,0.009810262630322432,-0.02230068355472083,0.03960211767169512
sparse,cfc,6,0.013023244523057998,-0.018711377735850607,0.03422894717320056
sparse,constant,6,-0.002660913763573076,-0.043109506478928035,0.027305566582089397
sparse,gru_dt,6,0.05593240955151498,0.014284758049451327,0.1200756627248928
sparse,gru_param_matched,6,-0.006508843498946555,-0.041271472708965105,0.029517463424705386
sparse,oracle,6,0.024278363659105958,0.013358939051521919,0.03454141131730252
