regime,hazard_model,n_units,semantic_advantage_mean,semantic_advantage_ci_lo,semantic_advantage_ci_hi
id,cfc,6,0.0005939428197414692,-0.028136513584903485,0.028750210929869218
id,constant,6,0.021934132180270877,-0.02784404088270571,0.07735536652202198
id,gru_dt,6,0.0071985843633873515,-0.027412594546376567,0.03670090783141679
id,oracle,6,-0.017408323459322982,-0.047446559748495105,0.015781302786681557
sparse,cfc,6,-0.0004443323706201513,-0.051220317329972724,0.03950472737872667
sparse,constant,6,-0.021794967373975595,-0.10080935976910316,0.047788778397446365
sparse,gru_dt,6,0.09610619494633861,0.0029258737280575633,0.21021937729430593
sparse,oracle,6,0.02622286833110941,0.009714821107341324,0.03955440638982859
