regime,hazard_model,goal_utility_mae,critical_success_mae,latency_mae,outage_mae,reroute_mae,policy_effect_error_mae,policy_effect_sign_agreement
id,gru_dt,0.04623783206053618,0.05403713447719244,1.2913037150326723,1.1666666666666667,6.291666666666666,0.04839292838317725,0.3333333333333333
id,gru_param_matched,0.05880751087574975,0.07962197709781962,1.5495787642967096,0.5833333333333334,2.5,0.03512139432097688,0.8333333333333334
id,cfc,0.06427818500215755,0.07639466713586258,1.601808288471691,0.7916666666666666,4.666666666666667,0.042414460413931626,0.5
id,constant,0.10613055244714173,0.12488798463196804,1.786501792925975,1.0,3.958333333333333,0.06687522301815867,0.5
sparse,gru_param_matched,0.07162197945456585,0.08413242841616883,1.7599332170544522,0.75,4.625,0.043333828158864766,0.5
sparse,cfc,0.0734586140149557,0.07946731720504704,2.0864432200134484,0.875,5.958333333333334,0.024058118274380275,0.8333333333333334
sparse,gru_dt,0.08018750056115477,0.11299074213960628,1.3788841204987805,1.4583333333333335,7.416666666666666,0.04722680161793572,1.0
sparse,constant,0.09775991036185999,0.10207472992006818,1.7805769832341638,1.9583333333333335,12.333333333333332,0.04507763237557529,0.6666666666666666
