regime,hazard_model,policy,n,goal_utility_ratio_mean,goal_utility_ratio_ci_lo,goal_utility_ratio_ci_hi,critical_success_rate_mean,critical_success_rate_ci_lo,critical_success_rate_ci_hi,mean_latency_mean,mean_latency_ci_lo,mean_latency_ci_hi,energy_mean,energy_ci_lo,energy_ci_hi,outages_mean,outages_ci_lo,outages_ci_hi,reroutes_mean,reroutes_ci_lo,reroutes_ci_hi
id,cfc,semantic,6,0.16594061315799688,0.11585057640648151,0.2152923959496613,0.1882666066876593,0.12962962962962962,0.24508921877342926,3.998825896436609,2.841380697700655,5.252993979161909,51.77266666666666,28.088666666666665,76.90999999999998,4.333333333333333,3.5,5.166666666666667,15.666666666666666,9.833333333333334,21.5
id,cfc,throughput,6,0.1653466703382554,0.10661415125305822,0.22543290244299605,0.1883317629111141,0.11407995692556196,0.25789473684210523,3.91715545121413,2.6591275478602263,5.179344897329315,41.046,28.611333333333334,52.14133333333333,4.333333333333333,3.5,5.166666666666667,16.5,9.666666666666666,23.333333333333332
id,constant,semantic,6,0.1932740536068294,0.11237445833230592,0.2794104352421896,0.1885842227947491,0.08345601766654394,0.2967365967365967,6.05648668636501,5.043405829832071,7.12577198932128,83.99933333333335,62.69866666666669,101.12133333333333,5.166666666666667,3.6666666666666665,6.5,18.0,11.833333333333334,23.333333333333332
id,constant,throughput,6,0.17133992142655852,0.09493377613519031,0.25422186009001707,0.1475780603459411,0.05845216874628637,0.2393803098450774,6.952278593763938,5.851202745925288,7.872630514155001,98.05066666666666,70.48533333333332,121.57466666666669,4.333333333333333,3.5,5.166666666666667,17.333333333333332,12.666666666666666,22.0
id,gru_dt,semantic,6,0.20791471872266562,0.10283524369163215,0.33717115913782914,0.22303312629399585,0.1043823326432022,0.378191856452726,5.038047111544787,3.1203092163438804,6.81081734899325,63.21866666666666,41.022000000000006,83.63666666666667,5.0,3.8333333333333335,6.166666666666667,20.666666666666668,13.666666666666666,28.333333333333332
id,gru_dt,throughput,6,0.20071613435927826,0.09512232626599697,0.3284212966575627,0.18429038281979457,0.06960784313725489,0.3398459383753501,5.727098736618605,4.058162480263296,8.035192387197299,74.89866666666666,45.72,100.74066666666666,4.0,3.0,4.833333333333333,15.666666666666666,9.166666666666666,21.666666666666668
id,oracle,semantic,6,0.19954381019781908,0.1177901433830606,0.30348794640217186,0.22387999929337488,0.12880479735318442,0.33587592168827857,5.975658076822796,3.963454034062295,8.45288077652055,55.837999999999994,35.16266666666667,78.53333333333332,3.6666666666666665,2.8333333333333335,4.333333333333333,13.166666666666666,9.833333333333334,15.666666666666666
id,oracle,throughput,6,0.21695213365714208,0.13699129172052024,0.3013405939038006,0.23535353535353534,0.14368686868686867,0.3202020202020202,5.402363647776679,3.8841079221137504,7.463361080603506,66.12733333333334,38.76133333333333,92.45666666666665,3.6666666666666665,2.8333333333333335,4.333333333333333,12.666666666666666,9.0,16.5
sparse,cfc,semantic,6,0.19555428562236413,0.13832838357562097,0.25555251691987635,0.21658914915493857,0.1412686363344258,0.2908553434869224,5.691652247377621,4.469674649240862,7.083379568464506,70.2,44.98266666666667,92.9906666666667,4.0,2.8333333333333335,5.333333333333333,14.833333333333334,10.333333333333334,19.333333333333332
sparse,cfc,throughput,6,0.19599861799298432,0.10092821542313453,0.3060878804883333,0.17186355311355309,0.06319444444444443,0.30418192918192916,6.6561517964539085,5.003854077560481,8.358340201528646,84.91666666666667,55.21,113.21999999999998,3.5,2.3333333333333335,4.833333333333333,11.833333333333334,7.333333333333333,16.166666666666668
sparse,constant,semantic,6,0.2605859332201764,0.17978728404295594,0.360561571129391,0.26817534317534314,0.18660968660968655,0.3866938616938617,5.150968819024044,4.337648077355943,5.965179548189629,86.03266666666667,70.34466666666665,102.254,4.166666666666667,3.3333333333333335,5.0,15.5,10.5,20.0
sparse,constant,throughput,6,0.282380900594152,0.18856153846153856,0.37968153670819965,0.2729644624381466,0.144017094017094,0.4146311291048133,4.888713489980749,3.9954859080833436,5.904067942631916,92.59533333333333,79.01333333333335,104.62066666666665,4.5,3.3333333333333335,5.833333333333333,16.0,10.166666666666666,23.166666666666668
sparse,gru_dt,semantic,6,0.31872668778637,0.2345762782352523,0.40681559121597893,0.3642208281914164,0.27776806526806525,0.44739819004524883,4.862818217888903,4.257568163931377,5.433989002707478,92.11466666666666,73.45533333333333,112.27266666666668,5.5,4.166666666666667,6.833333333333333,22.0,15.0,28.666666666666668
sparse,gru_dt,throughput,6,0.22262049284003138,0.15409886761837796,0.3082350276558626,0.21037829273123387,0.12222222222222219,0.3050406020994256,5.8040049841245525,4.6950922192815225,6.878450602684127,85.65133333333331,61.11533333333333,109.76599999999998,5.666666666666667,4.5,6.833333333333333,21.333333333333332,16.166666666666668,26.833333333333332
sparse,oracle,semantic,6,0.17853070030426943,0.13674869040250517,0.21933362625610156,0.17090171665723444,0.11052631578947365,0.23112620260328234,5.940359353078801,4.5197306882092745,7.775554144056532,84.77733333333333,66.696,101.6973333333333,4.0,2.6666666666666665,5.333333333333333,15.5,9.166666666666666,22.5
sparse,oracle,throughput,6,0.15230783197316003,0.10278789268484545,0.199038262233478,0.13368677142053606,0.06911928651059084,0.1961838629557401,6.535436649515835,5.417956878135702,7.858560261433034,85.26333333333334,62.315999999999995,109.63933333333331,3.8333333333333335,2.5,5.166666666666667,14.333333333333334,9.666666666666666,19.0
