hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
cfc,paired_sparse,semantic,3,1,12103483579776137634,214,62,15,2,18,0.09746759259259265,0.1111111111111111,4.508687469951856,27.96,3,3,12,5,38,9,3098a88fd86f02fd0f2c736eaa89c99dcb3bd10967473339b1a32084021da30d
gru_dt,paired_sparse,throughput,3,0,4075354663187747816,279,69,34,3,22,0.14045239658568623,0.13636363636363635,4.48900848265308,74.21199999999996,6,5,18,11,29,6,91d283d52098aadfadb4d657c9d9185276968860913967ab36443af86723a157
gru_dt,paired_sparse,throughput,3,1,12103483579776137634,255,71,31,2,13,0.12362201365187722,0.15384615384615385,8.003515283286479,74.41599999999998,3,3,11,7,31,9,231b6721fea67a0d98c67948facdb7aafc2aefe6a2f5c8f63855878d4564dcc2
gru_dt,paired_sparse,semantic,3,0,4075354663187747816,292,61,42,6,16,0.3213419087136931,0.375,4.399360594927492,93.01199999999994,7,5,24,9,19,0,47e153c070bb058fd5f80f859a4cd0bfe93a71640275fc7d535a34faa5126ec8
gru_dt,paired_sparse,semantic,3,1,12103483579776137634,228,67,14,4,22,0.1329568106312293,0.18181818181818182,6.781425702078735,26.96,5,4,17,6,47,6,022f5f9c30557aaf4901ad257b2be625f8795a94699fab8b81f9f822fe997fc8
gru_param_matched,paired_sparse,throughput,3,0,4075354663187747816,309,71,44,3,29,0.10563129102844641,0.10344827586206896,10.621778447947916,87.70399999999997,7,6,22,9,21,6,0ebf46b8ae527e1a1a47c4b035e2eedc71c390d9dde382f81d42a8c3abbe2e55
gru_param_matched,paired_sparse,throughput,3,1,12103483579776137634,183,69,6,2,18,0.07555187637969099,0.1111111111111111,1.0904373866253494,11.399999999999999,3,1,8,4,63,0,e215d16247fc981debb41cf7b483014ac26fd699493e8770082fd406284ab2b5
gru_param_matched,paired_sparse,semantic,3,0,4075354663187747816,259,67,29,3,18,0.14408650260999262,0.16666666666666666,8.76572670726535,61.83199999999998,5,4,16,9,32,6,4b55443797c34dbef1139a9b0d1afcbd0ef54c9843d127973f670ddc73bad30d
gru_param_matched,paired_sparse,semantic,3,1,12103483579776137634,183,69,6,2,18,0.07555187637969099,0.1111111111111111,1.0856710634374755,11.399999999999999,3,1,8,4,63,0,faf71b48e83f40f279a27a6822127eac37ab5663a23ab56834398a7463e44794
constant,paired_sparse,throughput,3,0,4075354663187747816,254,69,19,1,23,0.03910549872122764,0.043478260869565216,9.25147857532658,31.780000000000005,6,5,22,8,44,6,70c54a408d5c105c1a19b96533ae477b4db30b50f730cb8ac74c8ae415f5bddc
constant,paired_sparse,throughput,3,1,12103483579776137634,236,67,25,3,14,0.12731520815632974,0.21428571428571427,8.271903688887619,58.04799999999999,4,3,12,4,36,6,f9b4df01912deb07d223f2c71a436d821b80be9a94871ef60b97206f437c76cf
constant,paired_sparse,semantic,3,0,4075354663187747816,304,58,44,7,23,0.2455105802047783,0.30434782608695654,6.390047982596815,91.73600000000002,7,6,28,8,11,3,c907ea909695512d00b6f9826351a6afdb01a82f7a56c5f978248e475d4ab933
constant,paired_sparse,semantic,3,1,12103483579776137634,233,66,24,5,14,0.20458047945205493,0.35714285714285715,8.418541726802738,50.999999999999986,4,3,12,4,36,6,22f91cdd76c96d201b033a13917ca981d541d906317fe168d30ce2fb50e91f4d
oracle,paired_sparse,throughput,4,0,12371909476235374052,226,62,21,1,17,0.08082788844621518,0.058823529411764705,7.829244276370552,52.067999999999984,4,3,17,3,35,6,edd33d1eb4ba4b22b84b8e2765d2626a0fb2576a3155585ef46f45161ec39c4c
oracle,paired_sparse,throughput,4,1,599081499421017620,204,53,23,3,20,0.15476946800308408,0.15,8.094928483091838,49.17199999999999,2,2,7,6,21,9,f8541b97f4f6052e4a19a9f4d24db9c6f6487f539aee857340dadb7450eb7175
oracle,paired_sparse,semantic,4,0,12371909476235374052,250,60,32,2,22,0.0970707350901526,0.09090909090909091,8.463896202004781,65.47999999999999,4,3,20,4,25,3,673ce4a80eb8ff042c7e8d7b8adf19ffb039380511a0614d3ad5c53d547d3d1f
oracle,paired_sparse,semantic,4,1,599081499421017620,218,64,24,4,17,0.2033660644147684,0.23529411764705882,4.649320020298259,56.867999999999995,3,2,10,6,37,3,aa51fe024cb47760631408bf5f1466f79cc06dc108f59cf7c6fbea839c866ec9
cfc,paired_sparse,throughput,4,0,12371909476235374052,273,67,32,3,24,0.13543100189035923,0.125,6.6628504787533975,74.22800000000001,5,5,24,3,26,9,3d7de7410431e548d10a93d9a7dd650ab3d1d68bd3f740ffc0522f4b6e8b101f
cfc,paired_sparse,throughput,4,1,599081499421017620,231,58,21,1,14,0.10653010948905116,0.07142857142857142,6.608008660347596,51.56399999999998,5,4,20,4,31,6,76f2c2b9bc86d0161081eca93ce471e25859e3437ff7a4d83becd716b913cab1
cfc,paired_sparse,semantic,4,0,12371909476235374052,269,67,35,5,24,0.1829086326402017,0.20833333333333334,5.296577262914037,73.59199999999998,5,3,24,4,32,0,11079914d8ccba55f903599264512d781019a4dec4763e82dddda4f867461ac3
cfc,paired_sparse,semantic,4,1,599081499421017620,247,61,26,1,19,0.06528162650602413,0.05263157894736842,10.747879675007425,55.988,4,4,18,9,26,9,423e207423d7b7c910c18eb28c610b7548f1e1d17cb049acc4da9ee73682a946
gru_dt,paired_sparse,throughput,4,0,12371909476235374052,224,71,17,0,18,0.0050784313725490225,0.0,12.760080442612356,40.39999999999999,3,2,15,6,48,6,2a929c06627d8fee3cb68e94ef7bcf2efd47db38c0ba41bb2473cfaadbc40ac1
gru_dt,paired_sparse,throughput,4,1,599081499421017620,253,62,29,2,19,0.09496709050112197,0.10526315789473684,8.820932281595775,63.091999999999985,5,4,22,5,30,3,3be62d5b2bf0ad03bbffed0c076fe31dcd7bef1d10fa0a1c405b80fbea8c66e1
gru_dt,paired_sparse,semantic,4,0,12371909476235374052,236,78,23,1,21,0.04360460652591174,0.047619047619047616,11.061822875861996,42.8,3,1,15,6,55,0,a8a387f58bf69f78073bd11716fd04b25e42eda5784e9c46c4048d01b9e98a42
gru_dt,paired_sparse,semantic,4,1,599081499421017620,240,62,18,3,24,0.10216277561608303,0.125,7.419760408741748,26.027999999999995,6,5,25,6,41,3,3045a6aa98962879e77394c0d377a86602f2e1b546b7c9906d5ed27c1ff57b62
gru_param_matched,paired_sparse,throughput,4,0,12371909476235374052,249,67,27,1,23,0.06503751617076328,0.043478260869565216,8.098981765074193,60.83999999999999,5,4,20,4,37,3,7e6efdadd056d987f4b2167a82efa6cd41db92b3f9e6265428c58e246e6c5799
gru_param_matched,paired_sparse,throughput,4,1,599081499421017620,226,57,28,2,18,0.15439568345323748,0.1111111111111111,6.460473325748168,63.02799999999997,5,3,13,7,29,0,1f77a542dac74cb2f0dba77aa1a3d1acb2ff0bd4809aeefdcf77599e0e073fb3
gru_param_matched,paired_sparse,semantic,4,0,12371909476235374052,217,58,22,4,23,0.16321569965870314,0.17391304347826086,6.005294731274746,43.16799999999999,4,2,15,7,36,0,86c27b9948e7cc4be4516d472d546060aa095725fd622d3e146c4502adeb4680
gru_param_matched,paired_sparse,semantic,4,1,599081499421017620,186,49,13,2,13,0.13895482546201238,0.15384615384615385,6.713865645607564,27.076,4,3,10,9,33,3,6cbc1f4e572f47a77c12c025016659e9e3d5314d9e860bcb2c6985f5d74bbba8
constant,paired_sparse,throughput,4,0,12371909476235374052,272,62,36,4,18,0.21744907407407418,0.2222222222222222,5.3855083883389625,84.85200000000002,6,4,26,4,26,0,b1619f89d1712c851565961fb115255155c5ddb725a6eaba549246923e4263d2
constant,paired_sparse,throughput,4,1,599081499421017620,264,65,39,4,20,0.2159295373665481,0.2,5.4687918871695285,93.21600000000005,5,3,17,6,25,1,d63ac9ec6502c04e6d6b1a5e13f5a7fbc27e8f3ce204fc48e832755f8dc1c853
constant,paired_sparse,semantic,4,0,12371909476235374052,265,72,34,4,21,0.16470576540755474,0.19047619047619047,6.163303802678418,70.90000000000002,5,3,20,5,38,0,a93f5f6e1c297083ab82ec511413a3ce45db42df3883cefdfe52ed186cb69883
constant,paired_sparse,semantic,4,1,599081499421017620,245,58,25,3,14,0.24185766423357677,0.21428571428571427,3.131913653679865,58.94799999999998,6,4,25,5,33,0,532ecc8ffccfbff4c8e58ef0802a16b3e86a60bf1c4d0c11cb48541532bc818c
oracle,paired_sparse,throughput,5,0,15500975987367173758,207,68,11,1,19,0.0380122214234364,0.05263157894736842,3.2014961795671115,15.32,6,4,21,9,57,0,1d0b0a1b7b6f5b33b463775f192b0313af75c835a98e079a435395e698e6ea26
oracle,paired_sparse,throughput,5,1,13811391642145551356,258,65,44,2,14,0.1699810181190683,0.14285714285714285,8.502519777511287,112.39999999999998,3,3,12,10,12,9,fe16bcd7399a8d86e32e8299fa3c9dd51bf53084b1d3b21c2d95d51bec395c7a
