regime,hazard_model,goal_utility_mae,critical_success_mae,latency_mae,outage_mae,reroute_mae,policy_effect_error_mae,policy_effect_sign_agreement
id,cfc,0.10893849710310335,0.12352158286308021,2.642875984155687,1.3333333333333333,5.833333333333334,0.05879162065639665,0.4
id,constant,0.10178191559636615,0.1139124569056849,1.8720900066253248,1.75,8.083333333333334,0.0671562340927661,0.8
id,gru_dt,0.05489521833702557,0.07610882989830578,2.0055391938767952,1.3333333333333335,7.416666666666666,0.061154722931395185,0.4
sparse,cfc,0.09296408250309174,0.09343747977594256,1.6025737845276482,0.6666666666666666,4.583333333333334,0.04769590103289998,0.6666666666666666
sparse,constant,0.1332975743180484,0.15034145712693323,1.9209866788202792,1.75,10.0,0.07686555750902156,0.5
sparse,gru_dt,0.14774859894174608,0.2024810613233941,1.454720558689357,2.0,9.25,0.12019867151646164,0.5
