regime,hazard_model,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight
id,gru_dt,semantic,1.0,0.5,4.684862728505352e+18,302.0,64.0,14.0,2.5,25.5,0.09306954183974535,0.10481366459627325,6.164853536871482,28.057999999999993,5.0,4.0,20.0,5.0,47.0,3.0
id,gru_dt,semantic,2.0,0.5,2.7547795088805263e+18,309.0,62.0,32.5,4.5,16.5,0.2992469956911476,0.3392857142857143,3.9839984797187906,77.06800000000001,3.5,2.0,10.5,6.0,28.0,1.5
id,gru_dt,semantic,3.0,0.5,8.089419121481943e+18,385.5,57.0,35.5,3.0,19.0,0.178717601746581,0.15966386554621845,5.774835993198723,72.95799999999997,8.5,8.0,33.0,5.5,14.0,7.5
id,gru_dt,semantic,4.0,0.5,6.485495487828196e+18,328.0,57.0,34.0,1.5,21.0,0.0897244222347714,0.07045454545454545,7.796202520909204,67.31800000000001,5.0,4.5,20.5,4.5,17.0,6.0
id,gru_dt,semantic,5.0,0.5,1.4656183814756362e+19,324.5,68.0,35.0,1.0,21.0,0.04657878787878785,0.0518518518518518,9.93212934457733,72.33200000000002,4.0,3.5,11.5,7.0,27.0,6.0
id,gru_dt,throughput,0.0,0.5,7.67814129181337e+18,366.0,67.5,43.0,3.5,22.5,0.20213967762733726,0.16071428571428564,4.835991423710597,97.07199999999999,5.0,4.0,24.0,3.0,20.0,4.5
id,gru_dt,throughput,1.0,0.5,4.684862728505352e+18,306.0,73.5,14.5,2.0,28.0,0.07158742879293485,0.06666666666666665,7.519282306894059,28.665999999999997,4.0,3.5,15.5,4.5,51.5,7.5
id,gru_dt,throughput,2.0,0.5,2.7547795088805263e+18,317.5,50.5,43.5,5.0,16.0,0.3284212966575627,0.3254901960784314,4.82602247925116,98.958,3.0,2.5,7.5,5.5,1.0,6.0
id,gru_dt,throughput,3.0,0.5,8.089419121481943e+18,341.0,56.0,26.0,2.0,19.0,0.12375549332210914,0.10084033613445374,5.5916779233113605,58.83199999999998,6.5,5.5,24.5,5.5,25.5,4.5
id,gru_dt,throughput,4.0,0.5,6.485495487828196e+18,326.5,65.0,34.0,2.0,22.0,0.11590576390773405,0.0910973084886128,7.32599151603185,75.31,4.0,3.0,17.0,6.0,26.5,4.5
id,gru_dt,throughput,5.0,0.5,1.4656183814756362e+19,290.0,62.0,23.0,0.5,22.5,0.027650301691312447,0.0185185185185185,9.60138576249431,47.408,3.5,3.0,8.5,8.0,31.5,7.5
id,gru_param_matched,semantic,0.0,0.5,7.67814129181337e+18,340.5,60.0,42.5,4.5,19.0,0.2303291698638785,0.23011363636363635,5.827971528553045,94.57400000000001,3.5,3.0,15.0,3.5,10.0,7.5
id,gru_param_matched,semantic,1.0,0.5,4.684862728505352e+18,348.0,76.0,29.0,4.5,24.5,0.15801955414616345,0.18311036789297655,5.5540478486266895,57.800000000000004,5.0,4.0,21.0,7.0,44.0,3.0
id,gru_param_matched,semantic,2.0,0.5,2.7547795088805263e+18,310.5,59.5,31.5,7.0,17.0,0.3533016850723282,0.4357142857142857,4.206223165375952,69.96599999999998,4.0,2.5,13.0,4.5,25.0,3.0
id,gru_param_matched,semantic,3.0,0.5,8.089419121481943e+18,365.5,59.5,40.5,7.0,19.0,0.3372701751616273,0.35119047619047616,3.5859566244785506,88.578,6.0,5.0,21.0,5.5,14.5,4.5
id,gru_param_matched,semantic,4.0,0.5,6.485495487828196e+18,296.0,64.0,23.0,2.0,25.5,0.0797942519938437,0.07846153846153844,9.692766157156656,41.432,3.5,3.0,13.0,5.5,35.0,6.0
id,gru_param_matched,semantic,5.0,0.5,1.4656183814756362e+19,333.0,65.5,38.5,2.0,21.5,0.0862976721194932,0.0967391304347826,8.11284068353566,79.17999999999998,5.0,3.5,15.0,7.5,25.5,1.5
id,gru_param_matched,throughput,0.0,0.5,7.67814129181337e+18,333.0,72.0,33.5,5.5,24.0,0.21316942590969765,0.22478991596638648,4.8445981328048955,78.21199999999999,4.0,3.0,15.0,3.0,32.5,6.0
id,gru_param_matched,throughput,1.0,0.5,4.684862728505352e+18,327.0,59.5,25.5,3.5,20.0,0.1828590520506138,0.17708333333333331,5.5016841245283645,59.23199999999999,5.5,4.5,21.5,6.0,29.5,4.5
id,gru_param_matched,throughput,2.0,0.5,2.7547795088805263e+18,319.0,56.5,37.0,4.5,18.5,0.26102631360250544,0.24415204678362568,5.317486230340335,85.95999999999995,3.5,3.0,10.0,6.5,12.0,7.5
id,gru_param_matched,throughput,3.0,0.5,8.089419121481943e+18,364.5,66.5,38.0,5.5,20.0,0.26876442482115903,0.275,4.245297478273726,85.88,5.5,4.5,20.0,4.0,22.5,6.0
id,gru_param_matched,throughput,4.0,0.5,6.485495487828196e+18,294.5,63.5,22.5,1.5,25.0,0.06544852899622296,0.05929487179487175,10.21874978486246,44.315999999999995,3.5,3.0,13.0,5.5,35.0,6.0
id,gru_param_matched,throughput,5.0,0.5,1.4656183814756362e+19,322.5,61.0,30.5,1.5,19.0,0.07534890561050114,0.0789473684210526,7.696093008879054,68.606,5.5,4.5,18.0,7.0,26.0,4.5
id,oracle,semantic,0.0,0.5,7.67814129181337e+18,340.0,80.0,33.0,5.5,28.5,0.17873932375786988,0.1960297766749379,4.4228491447973255,69.756,3.5,2.5,15.0,4.0,41.0,6.0
id,oracle,semantic,1.0,0.5,4.684862728505352e+18,297.0,59.0,18.0,3.5,21.5,0.1339695764253841,0.15543478260869564,6.087192723195174,33.21,4.5,3.0,16.0,6.5,38.0,3.0
id,oracle,semantic,2.0,0.5,2.7547795088805263e+18,300.0,53.5,31.5,6.0,18.5,0.2859225304102033,0.32017543859649117,7.416932362475888,64.54799999999999,3.0,2.0,8.5,7.5,16.0,6.0
id,oracle,semantic,3.0,0.5,8.089419121481943e+18,327.5,54.5,25.5,1.5,17.0,0.12396941803407745,0.10073260073260071,6.523730725158801,55.14599999999998,5.0,4.0,19.5,6.0,23.0,6.0
id,oracle,semantic,4.0,0.5,6.485495487828196e+18,295.0,65.0,20.5,3.0,20.5,0.1550778068178415,0.16789215686274506,5.957478664244839,43.935999999999986,4.0,3.0,16.5,4.0,41.5,3.0
id,oracle,semantic,5.0,0.5,1.4656183814756362e+19,352.5,64.0,47.0,1.5,22.0,0.08027202531735894,0.06781609195402294,8.318440115740934,99.75799999999997,4.5,3.5,15.5,8.0,12.5,4.5
id,oracle,throughput,0.0,0.5,7.67814129181337e+18,344.0,66.5,41.5,5.5,23.0,0.2327609774062664,0.2386363636363636,5.062280653129733,94.78,4.0,2.5,17.0,3.0,22.0,3.0
id,oracle,throughput,1.0,0.5,4.684862728505352e+18,294.0,66.0,17.5,4.0,21.0,0.15782031485156875,0.18409090909090908,4.486717983967229,38.992,4.0,2.5,12.0,6.5,45.5,3.0
id,oracle,throughput,2.0,0.5,2.7547795088805263e+18,297.5,52.5,30.5,5.5,19.0,0.26027510871359116,0.2833333333333333,6.658092306233074,64.60999999999999,3.0,2.0,9.0,7.5,16.5,5.5
id,oracle,throughput,3.0,0.5,8.089419121481943e+18,327.5,62.5,23.0,0.0,19.5,0.0794250234135779,0.0,5.00746191432711,53.13199999999999,5.0,3.5,18.5,8.5,36.5,3.0
id,oracle,throughput,4.0,0.5,6.485495487828196e+18,288.5,63.5,20.0,2.0,20.5,0.0961238011279057,0.1016746411483253,7.84612336043693,44.714,3.0,2.5,13.5,4.5,37.5,6.0
id,oracle,throughput,5.0,0.5,1.4656183814756362e+19,329.5,63.5,30.5,1.0,22.0,0.0726838794678907,0.04700854700854695,8.555355101960462,69.29000000000002,5.0,4.5,18.5,8.0,25.5,7.5
sparse,cfc,semantic,0.0,0.5,1.0049770125496685e+19,273.5,66.0,42.5,7.5,22.5,0.3046915384352691,0.3309716599190283,4.038166817546645,96.57200000000003,5.0,3.5,17.0,6.5,22.0,1.5
sparse,cfc,semantic,1.0,0.5,1.158010317707013e+19,216.5,60.5,19.0,3.0,17.0,0.1358197781008138,0.1721611721611721,5.918884100823001,36.891999999999996,4.5,3.0,17.0,5.5,38.5,3.0
sparse,cfc,semantic,2.0,0.5,7.429751569658049e+18,231.5,59.0,33.0,2.0,14.5,0.14615154033100955,0.14663461538461536,7.117905823763218,77.13600000000001,2.5,2.0,10.5,10.0,20.0,6.0
sparse,cfc,semantic,3.0,0.5,1.1703489742803214e+19,204.0,62.0,20.5,1.5,21.0,0.0870962698537037,0.0714285714285714,3.7724422914995435,48.526000000000025,3.0,1.0,11.0,7.0,41.5,0.0
sparse,cfc,semantic,4.0,0.5,1.2173140618796608e+18,270.5,72.0,42.0,8.0,21.0,0.3346598604024067,0.38588235294117645,3.939913625352629,89.05199999999996,4.0,2.0,15.5,6.5,30.0,0.0
sparse,cfc,semantic,5.0,0.5,8.80207739787977e+18,217.5,49.5,25.5,1.5,15.0,0.10294321991089385,0.125,8.307767043524983,49.74599999999999,3.5,2.5,13.0,10.5,19.5,4.5
sparse,cfc,throughput,0.0,0.5,1.0049770125496685e+19,275.0,57.0,52.0,5.5,16.5,0.3681771581162928,0.3557692307692307,4.504321630718209,126.07,4.0,3.5,11.0,7.5,0.0,5.0
sparse,cfc,throughput,1.0,0.5,1.158010317707013e+19,204.0,56.5,18.5,2.5,18.0,0.11179131432240286,0.1285714285714285,8.002988702750784,36.95,4.0,2.5,14.0,5.0,35.0,3.0
sparse,cfc,throughput,2.0,0.5,7.429751569658049e+18,242.5,57.5,38.0,0.5,16.5,0.10802738154025725,0.03125,7.461145055892732,91.73000000000002,2.5,2.5,10.5,9.0,10.5,9.0
sparse,cfc,throughput,3.0,0.5,1.1703489742803214e+19,189.5,62.5,15.5,1.0,20.0,0.06532018315018315,0.050125313283208,4.129181263765759,42.248000000000005,2.5,0.5,8.0,9.0,47.0,0.0
sparse,cfc,throughput,4.0,0.5,1.2173140618796608e+18,278.5,65.0,50.5,6.0,20.5,0.29299945291452306,0.29066985645933013,5.280789417343582,115.26399999999998,3.5,2.5,12.5,6.5,10.5,4.0
sparse,cfc,throughput,5.0,0.5,8.80207739787977e+18,222.0,49.5,23.5,1.0,15.0,0.08690724985208956,0.0769230769230769,8.808256462220045,50.78799999999999,4.0,3.5,16.0,8.5,18.5,7.5
sparse,constant,semantic,0.0,0.5,1.0049770125496685e+19,282.0,62.0,40.0,7.0,19.0,0.33200242618636416,0.35833333333333334,4.8513985264137025,94.01800000000004,5.5,5.5,21.0,6.5,13.5,8.5
sparse,constant,semantic,1.0,0.5,1.158010317707013e+19,227.0,63.5,30.5,4.5,22.5,0.174536455303471,0.19444444444444442,5.33671061802459,62.018,3.5,2.0,10.5,5.0,30.0,3.0
sparse,constant,semantic,2.0,0.5,7.429751569658049e+18,256.5,55.0,42.5,3.0,12.0,0.27521891817069405,0.2517482517482517,5.264797312633842,102.06199999999998,3.5,3.0,15.0,7.5,5.0,7.5
sparse,constant,semantic,3.0,0.5,1.1703489742803214e+19,245.5,64.0,24.0,3.5,15.5,0.18984040344516198,0.19444444444444445,5.167590697850776,56.34599999999999,5.0,4.5,20.5,7.5,32.5,7.5
sparse,constant,semantic,4.0,0.5,1.2173140618796608e+18,270.0,64.0,48.5,7.0,21.0,0.33480516198859533,0.3455377574370708,5.555675202715248,111.73400000000005,3.0,2.0,9.5,9.5,11.0,4.5
sparse,constant,semantic,5.0,0.5,8.80207739787977e+18,243.0,54.5,28.5,4.0,21.0,0.1447560810074203,0.14285714285714285,6.451660413978278,54.04199999999999,4.5,3.5,18.5,10.5,20.0,6.0
sparse,constant,throughput,0.0,0.5,1.0049770125496685e+19,254.0,66.0,32.0,6.5,18.0,0.3012481589615434,0.3375,4.627822014270284,77.486,5.0,4.0,16.5,5.5,29.5,4.5
sparse,constant,throughput,1.0,0.5,1.158010317707013e+19,247.5,61.0,39.0,5.5,17.5,0.271669422708365,0.29934210526315785,5.191716574669798,92.532,3.5,3.5,9.5,5.5,13.0,9.0
sparse,constant,throughput,2.0,0.5,7.429751569658049e+18,266.0,54.5,42.5,2.5,14.0,0.2742251201125475,0.18205128205128202,4.846601881002165,107.76800000000001,5.0,3.5,22.0,6.0,9.0,3.0
sparse,constant,throughput,3.0,0.5,1.1703489742803214e+19,278.0,63.5,39.5,2.5,21.5,0.15076195853751545,0.1152173913043478,8.229575175305717,97.91000000000003,5.0,4.5,22.5,7.0,18.0,6.0
sparse,constant,throughput,4.0,0.5,1.2173140618796608e+18,274.5,72.0,46.0,7.0,25.0,0.3116309848191401,0.3174872665534804,4.924826763857119,107.72200000000002,3.5,2.5,11.0,7.0,21.5,4.5
sparse,constant,throughput,5.0,0.5,8.80207739787977e+18,228.5,52.5,21.5,4.0,20.0,0.15758928354403381,0.16666666666666666,5.702141014618517,46.66400000000001,5.0,3.5,21.0,9.5,28.0,3.0
sparse,gru_dt,semantic,0.0,0.5,1.0049770125496685e+19,272.5,61.0,37.0,7.5,20.5,0.316484749589491,0.3730769230769231,4.965439097419662,80.12799999999999,6.5,5.0,23.0,6.5,22.5,1.5
sparse,gru_dt,semantic,1.0,0.5,1.158010317707013e+19,267.0,51.0,41.5,6.5,19.5,0.34020259771354094,0.35561497326203206,4.8101239934922315,92.09800000000001,5.5,4.5,25.0,5.0,9.5,0.0
sparse,gru_dt,semantic,2.0,0.5,7.429751569658049e+18,268.5,63.0,42.0,4.5,12.5,0.29949271605607797,0.3639705882352941,4.812891562754816,104.118,4.5,4.0,18.0,6.0,15.0,6.0
sparse,gru_dt,semantic,3.0,0.5,1.1703489742803214e+19,233.5,70.5,30.5,0.5,21.0,0.05877081509932935,0.02941176470588235,6.502532788383769,68.64200000000001,3.5,1.5,11.5,6.0,40.0,0.0
sparse,gru_dt,semantic,4.0,0.5,1.2173140618796608e+18,301.0,71.0,56.0,5.5,20.5,0.29706916017797574,0.2751196172248804,5.478178018435334,130.502,4.5,3.5,13.5,7.5,10.5,4.5
sparse,gru_dt,semantic,5.0,0.5,8.80207739787977e+18,227.5,65.0,21.0,2.0,15.5,0.12177516688918566,0.1052631578947368,5.159794269403841,44.77799999999999,5.0,3.0,17.5,7.5,44.0,0.0
sparse,gru_dt,throughput,0.0,0.5,1.0049770125496685e+19,255.5,59.5,36.0,6.5,22.0,0.29754595827604113,0.31699346405228757,5.244403589885446,84.114,5.5,4.0,17.5,6.5,22.5,1.0
sparse,gru_dt,throughput,1.0,0.5,1.158010317707013e+19,247.5,50.0,26.0,1.0,14.0,0.13048044834664554,0.07777777777777775,6.354233941906061,60.739999999999995,6.5,5.0,28.0,7.0,21.0,3.0
sparse,gru_dt,throughput,2.0,0.5,7.429751569658049e+18,276.5,63.5,45.5,3.5,15.5,0.23983507189740744,0.23636363636363636,5.813377420582148,112.1,5.0,4.0,18.5,5.5,12.5,5.5
sparse,gru_dt,throughput,3.0,0.5,1.1703489742803214e+19,209.5,63.5,24.5,0.0,23.5,0.0309888271424393,0.0,8.16955705202998,62.300000000000004,3.0,1.5,8.5,6.0,37.5,1.5
sparse,gru_dt,throughput,4.0,0.5,1.2173140618796608e+18,285.5,71.5,44.5,5.0,24.5,0.2812542181329757,0.26654411764705876,5.110211900213006,106.672,4.5,3.5,17.5,6.5,22.5,4.5
sparse,gru_dt,throughput,5.0,0.5,8.80207739787977e+18,200.5,58.0,16.0,1.5,15.5,0.1180962244210017,0.1071428571428571,4.664866881447604,40.94800000000001,4.0,2.5,13.0,6.5,40.5,1.5
sparse,gru_param_matched,semantic,0.0,0.5,1.0049770125496685e+19,244.5,55.0,35.5,3.0,20.0,0.16124904929637512,0.1309523809523809,5.592499407534154,80.536,4.0,3.0,14.5,7.5,16.5,3.0
sparse,gru_param_matched,semantic,1.0,0.5,1.158010317707013e+19,242.0,62.0,30.5,2.5,18.5,0.1416851070341952,0.157051282051282,6.33134700595652,71.36000000000001,4.5,3.0,16.5,7.5,28.5,3.0
sparse,gru_param_matched,semantic,2.0,0.5,7.429751569658049e+18,230.5,61.0,32.0,5.0,15.0,0.28027321037919306,0.30000000000000004,5.3275744621014836,78.22400000000002,3.5,3.0,11.0,6.0,23.0,6.0
sparse,gru_param_matched,semantic,3.0,0.5,1.1703489742803214e+19,194.0,63.5,19.0,1.0,20.0,0.07353235194548205,0.05050505050505045,2.7354578969918277,45.15400000000001,2.5,0.5,7.5,6.5,44.5,0.0
sparse,gru_param_matched,semantic,4.0,0.5,1.2173140618796608e+18,251.5,70.0,32.5,6.0,19.0,0.29830344199365416,0.35416666666666663,4.360649780446428,77.644,4.0,2.5,15.5,5.0,34.5,3.0
sparse,gru_param_matched,semantic,5.0,0.5,8.80207739787977e+18,245.0,61.5,38.0,3.5,19.0,0.17902666614321244,0.1761363636363636,5.3596899699097325,84.31399999999996,3.5,2.5,11.5,5.5,20.5,3.0
sparse,gru_param_matched,throughput,0.0,0.5,1.0049770125496685e+19,224.5,56.0,28.0,3.5,16.5,0.20866158022465986,0.21139705882352938,5.52897929348537,65.548,4.0,3.0,11.0,7.0,23.5,4.5
sparse,gru_param_matched,throughput,1.0,0.5,1.158010317707013e+19,239.0,55.0,26.0,1.0,16.5,0.08350811177346534,0.07173913043478261,8.459125544109611,62.647999999999996,5.5,4.0,23.0,5.5,26.0,3.0
sparse,gru_param_matched,throughput,2.0,0.5,7.429751569658049e+18,245.0,60.0,40.5,3.0,13.5,0.23676995964639308,0.21764705882352942,6.5123454858219345,101.952,3.0,2.5,10.5,6.5,13.5,6.0
sparse,gru_param_matched,throughput,3.0,0.5,1.1703489742803214e+19,211.0,63.5,22.0,1.5,17.0,0.11124992750971935,0.09027777777777775,3.4749580883268387,56.128,3.0,1.5,10.5,7.0,38.5,3.0
sparse,gru_param_matched,throughput,4.0,0.5,1.2173140618796608e+18,274.0,62.5,46.0,4.5,19.0,0.29442364415004457,0.25362318840579706,4.9964536476530625,109.684,4.0,2.5,15.5,8.0,13.5,3.0
sparse,gru_param_matched,throughput,5.0,0.5,8.80207739787977e+18,268.5,62.5,49.5,5.0,21.5,0.23850966448150918,0.2361111111111111,6.18109069680245,110.82599999999998,3.0,2.5,10.0,7.5,9.0,4.0
sparse,oracle,semantic,0.0,0.5,1.0049770125496685e+19,265.5,61.5,46.5,4.0,19.5,0.1909124396716037,0.20526315789473681,6.2712002073536715,102.94799999999998,3.5,2.5,10.0,8.5,10.5,4.5
sparse,oracle,semantic,1.0,0.5,1.158010317707013e+19,293.5,63.0,43.0,5.5,25.0,0.23144958000115073,0.19779286926994905,4.259033497905346,88.018,6.0,5.0,26.5,6.5,14.0,6.0
sparse,oracle,semantic,2.0,0.5,7.429751569658049e+18,221.0,60.5,28.5,1.5,15.5,0.11323008124005379,0.1096491228070175,7.290844353977384,63.36600000000001,2.5,2.0,10.0,8.0,26.0,6.0
sparse,oracle,semantic,3.0,0.5,1.1703489742803214e+19,182.0,64.0,12.0,0.5,18.0,0.04278592575682765,0.0238095238095238,6.1772787533715725,27.624000000000002,2.5,0.5,7.5,8.0,52.0,0.0
sparse,oracle,semantic,4.0,0.5,1.2173140618796608e+18,319.5,68.0,43.0,6.0,22.5,0.2791968332192075,0.26619433198380565,4.512351439926331,93.11199999999997,7.0,5.5,36.0,7.0,22.0,3.0
sparse,oracle,semantic,5.0,0.5,8.80207739787977e+18,200.0,58.0,16.0,4.0,18.0,0.1956516861054767,0.225,3.302117389288507,35.763999999999996,4.0,2.0,12.5,9.0,42.0,0.0
sparse,oracle,throughput,0.0,0.5,1.0049770125496685e+19,289.5,67.0,53.0,3.0,22.0,0.17628421766936858,0.13664596273291918,6.509800606662439,121.97599999999998,4.0,3.0,12.0,9.0,9.5,4.5
sparse,oracle,throughput,1.0,0.5,1.158010317707013e+19,266.0,61.5,36.0,5.5,24.0,0.2039822029244626,0.2259528130671506,5.814240919546153,74.142,5.0,4.0,21.0,7.5,19.5,6.0
sparse,oracle,throughput,2.0,0.5,7.429751569658049e+18,211.5,62.5,24.5,0.5,16.0,0.07665707532564885,0.03846153846153845,7.282268422338914,59.672000000000004,2.5,1.5,10.0,8.0,35.0,3.0
sparse,oracle,throughput,3.0,0.5,1.1703489742803214e+19,179.0,64.5,10.5,0.5,18.5,0.04199650048528425,0.0227272727272727,5.4057367485093355,26.916,2.5,0.5,7.5,7.5,54.0,0.0
sparse,oracle,throughput,4.0,0.5,1.2173140618796608e+18,273.0,68.5,34.0,5.5,22.0,0.25340760883799635,0.24583333333333335,3.794300985696861,79.91799999999998,5.0,3.5,24.0,6.0,31.5,3.0
sparse,oracle,throughput,5.0,0.5,8.80207739787977e+18,179.0,58.0,12.0,3.0,17.0,0.15522875879692374,0.1789473684210526,2.9558315847726906,29.064,3.0,1.0,6.5,10.0,46.0,0.0
