regime,hazard_model,policy,n_scenarios,goal_utility_ratio_bias,goal_utility_ratio_mae,goal_utility_ratio_rmse,critical_success_rate_bias,critical_success_rate_mae,critical_success_rate_rmse,mean_latency_bias,mean_latency_mae,mean_latency_rmse,energy_bias,energy_mae,energy_rmse,outages_bias,outages_mae,outages_rmse,recoveries_bias,recoveries_mae,recoveries_rmse,reroutes_bias,reroutes_mae,reroutes_rmse,handovers_bias,handovers_mae,handovers_rmse,final_queued_bias,final_queued_mae,final_queued_rmse,final_inflight_bias,final_inflight_mae,final_inflight_rmse,policy_effect_error_mae,policy_effect_error_mae_ci_lo,policy_effect_error_mae_ci_hi,policy_effect_error_bias,policy_effect_sign_agreement
id,cfc,throughput,6,-0.02523892708890892,0.06265021144163078,0.08329024199071776,-0.00996423550350727,0.07620150700393667,0.08983402252695027,-0.7894117205696872,1.0563533199107233,1.7532728306956513,-16.442000000000004,18.694,24.726555657160716,0.9166666666666666,0.9166666666666666,1.2747548783981961,0.4166666666666667,0.9166666666666666,0.9789450103725609,4.583333333333333,5.416666666666667,6.617527232030607,-0.08333333333333333,0.75,0.9354143466934853,8.75,15.416666666666666,18.698261951315153,-2.6666666666666665,2.6666666666666665,3.378855822118882,0.042414460413931626,0.024024932865691826,0.06499258368381006,-0.011141535395939267,0.5
id,cfc,semantic,6,-0.036380462484848185,0.06590615856268432,0.09038149165888376,-0.03074476131602689,0.0765878272677885,0.09605826333730906,-1.221473515681269,2.147263257032659,2.5270260429161113,-15.971999999999992,27.527333333333317,31.690366527805665,0.6666666666666666,0.6666666666666666,0.9574271077563381,0.5833333333333334,0.9166666666666666,1.0992421631894098,3.25,3.9166666666666665,4.7740618624675015,0.3333333333333333,1.3333333333333333,1.4433756729740645,9.25,19.416666666666668,22.014199962751317,-0.5,2.0,3.122498999199199,0.042414460413931626,0.024024932865691826,0.06499258368381006,-0.011141535395939267,0.5
id,constant,throughput,6,0.048160081819079825,0.1110920015327641,0.15412522229512202,0.04579294650958047,0.13415936935876197,0.167588128926186,0.2975518643006165,2.5037728209466406,2.7832545214397832,31.092333333333343,36.44433333333334,45.5684847454905,0.75,0.75,1.136515141415488,0.8333333333333334,1.0,1.0801234497346435,3.4166666666666665,3.9166666666666665,4.945536708319263,0.25,1.4166666666666667,1.620185174601965,-9.916666666666666,17.083333333333332,21.278901914024292,-1.0,3.3333333333333335,4.123105625617661,0.06687522301815867,0.042225936893880676,0.09247138850000836,0.004897493211148009,0.5
id,constant,semantic,6,0.053057575030227844,0.10116910336151937,0.11372410765603286,0.05679968582510215,0.11561659990517413,0.1420581709108775,-0.5608377427621716,1.0692307649053097,1.4795240772071852,17.562000000000026,23.002666666666673,29.575521545133682,1.25,1.25,1.3385315336840842,0.8333333333333334,0.8333333333333334,1.0,4.0,4.0,4.444097208657794,0.25,0.4166666666666667,0.5400617248673217,-4.5,8.333333333333334,10.626225419530053,-2.75,2.75,3.0618621784789726,0.06687522301815867,0.042225936893880676,0.09247138850000836,0.004897493211148009,0.5
id,gru_dt,throughput,6,-0.004938190496968361,0.04902439737441206,0.053855079163962954,-0.015236080436084922,0.06290181339593552,0.07385779026207183,0.34738668193979977,1.2068836488751764,1.544353082602977,6.787999999999996,17.524000000000004,21.366218601646235,0.3333333333333333,0.8333333333333334,1.0408329997330663,0.6666666666666666,1.1666666666666667,1.2909944487358056,1.4166666666666667,5.25,5.940678973540538,-0.9166666666666666,1.4166666666666667,1.7911821050170564,-4.583333333333333,8.583333333333334,9.645810835106952,1.0833333333333333,1.5833333333333333,2.131118642090737,0.04839292838317725,0.023945113736663564,0.07253645091223504,0.0017405717078686767,0.3333333333333333
id,gru_dt,semantic,6,-0.003197618789099684,0.0434512667466603,0.04660127567421176,-0.009501867615815026,0.04517245555844935,0.05321154811498079,-0.01821909038222354,1.3757237811901681,1.762150639360958,5.98500000000001,16.844333333333328,18.33819022331992,1.3333333333333333,1.5,1.9578900207451218,1.6666666666666667,1.6666666666666667,2.29128784747792,6.0,7.333333333333333,9.187854301558481,-0.6666666666666666,0.8333333333333334,1.0,-3.5833333333333335,15.416666666666666,16.677080080157918,0.5,2.0,2.449489742783178,0.04839292838317725,0.023945113736663564,0.07253645091223504,0.0017405717078686767,0.3333333333333333
id,gru_param_matched,throughput,6,0.027921257668316574,0.044676865544400396,0.07938179385038002,0.03408729034696526,0.06822565012386995,0.11562665250021853,0.03464623993904962,1.0945512817231724,1.2795408498711927,9.447999999999988,15.331333333333333,19.205192388171135,0.5833333333333334,0.5833333333333334,0.7359800721939872,0.8333333333333334,0.8333333333333334,1.0408329997330663,1.5,2.5,4.041451884327381,-1.0,1.3333333333333333,1.9790570145063195,-4.333333333333333,8.0,9.9079092984679,1.0833333333333333,2.0833333333333335,2.3540744819709225,0.03512139432097688,0.013114555118052242,0.05736472219397661,0.019922380264116614,0.8333333333333334
id,gru_param_matched,semantic,6,0.04784363793243318,0.0729381562070991,0.09914719627074864,0.06120809793803373,0.0910183040717693,0.12030544303762117,-0.2911362879810679,2.004606246870247,2.4218596975191864,10.862666666666676,18.55666666666667,21.592354634607755,0.4166666666666667,0.5833333333333334,0.67700320038633,0.5,0.5,0.6454972243679028,1.1666666666666667,2.5,3.1622776601683795,-0.4166666666666667,1.0833333333333333,1.4288690166235205,-3.0,12.333333333333334,15.063753405664428,-0.5,2.0,2.29128784747792,0.03512139432097688,0.013114555118052242,0.05736472219397661,0.019922380264116614,0.8333333333333334
sparse,cfc,throughput,6,0.02094439597601072,0.07444852849164203,0.09406158755618085,0.01412343621050123,0.08299584102891332,0.10856646920680726,1.0707505441941199,2.164762031090055,2.7968636702767076,11.89366666666667,24.291000000000007,27.0310413537227,-0.25,0.5833333333333334,0.8416254115301732,0.25,1.0833333333333333,1.3385315336840842,-1.5,5.0,6.745368781616021,-0.4166666666666667,1.4166666666666667,1.541103500742244,-12.333333333333334,17.5,19.048184515415986,2.0,3.0,4.133198922545748,0.024058118274380275,0.007806329481316452,0.04687771610130829,-0.011255119136047959,0.8333333333333334
sparse,cfc,semantic,6,0.009689276839962761,0.07246869953826936,0.07832515398230108,0.03406156101158846,0.07593879338118077,0.08604294867091287,0.21370901011453455,2.008124408936842,2.5475119168871627,-2.151333333333323,18.36933333333333,24.128156719208096,-0.5,1.1666666666666667,1.5275252316519468,-0.5833333333333334,1.25,1.7199806200458578,-3.0833333333333335,6.916666666666667,9.766012492312305,-0.16666666666666666,1.3333333333333333,1.4433756729740645,0.8333333333333334,13.833333333333334,15.540270267920054,-0.75,2.25,2.806243040080456,0.024058118274380275,0.007806329481316452,0.04687771610130829,-0.011255119136047959,0.8333333333333334
