model,train_seed,best_epoch,best_val_nll_interval,regime,nll_per_interval,rate_rmse,rate_spearman
cfc,1407,25,0.42691248063952647,high_congestion,0.7117205756595133,0.32627981901168823,0.8412290570349084
cfc,1407,25,0.42691248063952647,high_mobility,0.8053346817498739,0.5298890471458435,0.8011562478879228
cfc,1407,25,0.42691248063952647,id,0.4717429615997081,0.44272881746292114,0.8994535689223326
cfc,1407,25,0.42691248063952647,paired_sparse,1.1919714595428492,0.47831961512565613,0.8717298332470786
cfc,2407,34,0.42201117461787896,high_congestion,0.7029969289814991,0.3243350088596344,0.8587128939362779
cfc,2407,34,0.42201117461787896,high_mobility,0.7646868847450902,0.49815869331359863,0.8325514434592842
cfc,2407,34,0.42201117461787896,id,0.4672412577137648,0.4332420229911804,0.9026909423152297
cfc,2407,34,0.42201117461787896,paired_sparse,1.1954297352385752,0.4827761948108673,0.8761377368607852
cfc,3407,22,0.422874510586049,high_congestion,0.7025203650509088,0.3273445963859558,0.8502951792168196
cfc,3407,22,0.422874510586049,high_mobility,0.7643513086279368,0.4931914210319519,0.8263184261555968
cfc,3407,22,0.422874510586049,id,0.46920095491641145,0.4521419107913971,0.9134355424447741
cfc,3407,22,0.422874510586049,paired_sparse,1.1952478971773328,0.48446008563041687,0.8818607033901351
gru_param_matched,1795,43,0.42896001190904376,high_congestion,0.6972087809135449,0.3093736469745636,0.8614947763790479
gru_param_matched,1795,43,0.42896001190904376,high_mobility,0.749028543909705,0.5174852013587952,0.7998993579932453
gru_param_matched,1795,43,0.42896001190904376,id,0.4782417157911949,0.43023398518562317,0.8918777605677998
gru_param_matched,1795,43,0.42896001190904376,paired_sparse,1.202906457839493,0.47104406356811523,0.8701258431732661
gru_param_matched,2795,43,0.4274808569179102,high_congestion,0.6989865850429339,0.3137841522693634,0.8607553009264539
gru_param_matched,2795,43,0.4274808569179102,high_mobility,0.7564664206109858,0.5060777068138123,0.8175177501827333
gru_param_matched,2795,43,0.4274808569179102,id,0.4783711002760127,0.4320398569107055,0.887408780292659
gru_param_matched,2795,43,0.4274808569179102,paired_sparse,1.204989726316275,0.4754903018474579,0.8619322716091161
gru_param_matched,3795,34,0.4286618338237057,high_congestion,0.6984085719505185,0.3115614354610443,0.8627093636292581
gru_param_matched,3795,34,0.4286618338237057,high_mobility,0.738087747029276,0.4834171533584595,0.8257630988001743
gru_param_matched,3795,34,0.4286618338237057,id,0.4776889625074022,0.4413515627384186,0.897187526689007
gru_param_matched,3795,34,0.4286618338237057,paired_sparse,1.2005529475045285,0.4817390143871307,0.8724850092467609
