regime,scenario,alpha,source,model,effect,oracle_effect,abs_error
high_mobility,5100,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.016784383270820435,0.027263385829414455,0.04404776910023489
high_mobility,5101,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.002227660036142942,-0.0021931227234530115,3.4537312689930655e-05
high_mobility,5102,0.0,inherit_primary_estimand,mechanistic_calibrated,0.18808490416659795,-0.005079046715799396,0.19316395088239735
high_mobility,5103,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.10765411998878194,-0.01655565664789571,0.09109846334088623
high_mobility,5104,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.005185012116005694,-0.020633033431815273,0.01544802131580958
high_stress,5200,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.0758020371184871,0.06904618556936104,0.14484822268784814
high_stress,5201,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.026729826200705076,0.04730957583148232,0.0740394020321874
high_stress,5202,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.004882732807956702,0.45669293309324543,0.46157566590120214
high_stress,5203,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.10071504517425128,0.05688550485679594,0.15760055003104723
high_stress,5204,0.0,inherit_primary_estimand,mechanistic_calibrated,0.06409548876966153,-0.02671459419870459,0.09081008296836612
id,5000,0.5,inherit_primary_estimand,residual_idcal,0.00885011159156801,0.049467720378923996,0.040617608787355985
id,5001,0.5,inherit_primary_estimand,residual_idcal,-0.0011290918110550274,-0.04157126719244353,0.0404421753813885
id,5002,0.5,inherit_primary_estimand,residual_idcal,-0.007303365734676159,-0.015976855413915803,0.008673489679239643
id,5003,0.5,inherit_primary_estimand,residual_idcal,-0.037371953867404106,0.02428564755061291,0.061657601418017016
id,5004,0.5,inherit_primary_estimand,residual_idcal,-0.001835409650697506,-0.058210762900555824,0.05637535324985832
weak_channel,5300,0.0,default_mechanistic,mechanistic_calibrated,-0.014199332927667174,-0.014199332927667174,0.0
weak_channel,5301,0.0,default_mechanistic,mechanistic_calibrated,-0.006766971499558849,-0.025633289109061597,0.018866317609502747
weak_channel,5302,0.0,default_mechanistic,mechanistic_calibrated,-0.0019123456168643749,-0.3132825609841289,0.3113702153672645
weak_channel,5303,0.0,default_mechanistic,mechanistic_calibrated,0.08236290598089402,-0.07717297104609311,0.15953587702698713
weak_channel,5304,0.0,default_mechanistic,mechanistic_calibrated,-0.002758248674335939,-0.001614797183548955,0.0011434514907869842
