regime,scenario,alpha,source,model,effect,oracle_effect,abs_error
high_mobility,90100,1.0,calibrated_cell,residual_predictive,-0.13467746742155554,0.0009722543327734812,0.13564972175432902
high_mobility,90101,1.0,calibrated_cell,residual_predictive,-0.007669099910736277,-0.009063026880261393,0.0013939269695251166
high_mobility,90102,1.0,calibrated_cell,residual_predictive,-0.0010331982074778256,-0.004478340584411877,0.0034451423769340517
high_mobility,90103,1.0,calibrated_cell,residual_predictive,-0.006050559793217225,-0.005214164121746301,0.0008363956714709242
high_mobility,90104,1.0,calibrated_cell,residual_predictive,-0.037983349518122655,0.07688415264020709,0.11486750215832975
high_stress,90200,0.25,calibrated_cell,residual_quarter,0.08795567756424738,-0.09025272534215745,0.17820840290640483
high_stress,90201,0.25,calibrated_cell,residual_quarter,-0.003625210190839556,-0.0023976897086279148,0.0012275204822116415
high_stress,90202,0.25,calibrated_cell,residual_quarter,0.004575503755586241,-0.14921957771634087,0.1537950814719271
high_stress,90203,0.25,calibrated_cell,residual_quarter,0.1591645609346316,-0.11098307621355408,0.2701476371481857
high_stress,90204,0.25,calibrated_cell,residual_quarter,-0.006492895841247681,-0.0063074423662398404,0.0001854534750078407
id,90000,1.0,calibrated_cell,residual_predictive,-0.0022558463246337146,-0.0027446105669102216,0.0004887642422765071
id,90001,1.0,calibrated_cell,residual_predictive,0.048773378187229655,0.048773378187229655,0.0
id,90002,1.0,calibrated_cell,residual_predictive,0.04029028926693562,0.04051720128964725,0.0002269120227116339
id,90003,1.0,calibrated_cell,residual_predictive,-0.0009408000631172531,-0.0009425547299313219,1.7546668140688837e-06
id,90004,1.0,calibrated_cell,residual_predictive,-0.0030812101974100337,-0.0030708029301446116,1.0407267265422071e-05
weak_channel,90300,0.0,default_mechanistic,mechanistic_calibrated,-0.0026276897431606328,0.32203089740982016,0.3246585871529808
weak_channel,90301,0.0,default_mechanistic,mechanistic_calibrated,-0.00955505013587149,-0.08008418876949325,0.07052913863362176
weak_channel,90302,0.0,default_mechanistic,mechanistic_calibrated,0.008452574758359699,-0.005892122709125092,0.01434469746748479
weak_channel,90303,0.0,default_mechanistic,mechanistic_calibrated,-0.010388615544569713,0.24701174414822735,0.25740035969279706
weak_channel,90304,0.0,default_mechanistic,mechanistic_calibrated,-0.21198397753161424,-0.20916207743786097,0.0028219000937532712
