regime,scenario,model,semantic,throughput,effect
high_mobility,0,cfc_closed,0.8337490320185084,0.8109616790881709,0.022787352930337512
high_mobility,0,cfc_nojump,0.823817435897436,0.8051544472584364,0.01866298863899951
high_mobility,0,gru_closed,0.796008924262996,0.5445957333333332,0.25141319092966274
high_mobility,0,oracle,0.6252786561609012,0.5816107627936915,0.043667893367209665
high_mobility,1,cfc_closed,0.8694399067599066,0.8645684475524472,0.00487145920745935
high_mobility,1,cfc_nojump,0.8650127397708671,0.8590164320785594,0.005996307692307745
high_mobility,1,gru_closed,0.861871188216039,0.8626305990180032,-0.0007594108019641777
high_mobility,1,oracle,0.8225329593189588,0.8240035635606554,-0.0014706042416966492
high_mobility,2,cfc_closed,0.8627225516178738,0.8057271581535437,0.056995393464330135
high_mobility,2,cfc_nojump,0.8220248543877032,0.7698000286969058,0.05222482569079745
high_mobility,2,gru_closed,0.8727355550723588,0.8374179008746356,0.03531765419772315
high_mobility,2,oracle,0.7662283583289525,0.759645548789259,0.006582809539693479
high_mobility,3,cfc_closed,0.7106331928397877,0.7334518533674338,-0.02281866052764614
high_mobility,3,cfc_nojump,0.8419553694461351,0.789873465705079,0.052081903741056146
high_mobility,3,gru_closed,0.8214928883157258,0.8174444588304624,0.004048429485263405
high_mobility,3,oracle,0.8059602504057499,0.7692806110267472,0.03667963937900276
high_mobility,4,cfc_closed,0.879994592419731,0.8711151214470283,0.008879470972702697
high_mobility,4,cfc_nojump,0.8429373814943095,0.869934677002584,-0.026997295508274455
high_mobility,4,gru_closed,0.8875620832753098,0.8510436789055342,0.0365184043697756
high_mobility,4,oracle,0.7931676985113999,0.8153809219936186,-0.022213223482218658
high_mobility,5,cfc_closed,0.8125825783972125,0.8383051327433628,-0.02572255434615034
high_mobility,5,cfc_nojump,0.8142821052631577,0.8439867768595041,-0.029704671596346377
high_mobility,5,gru_closed,0.8294405880366328,0.906574067316766,-0.07713347928013325
high_mobility,5,oracle,0.7040544770558835,0.7950197241927244,-0.09096524713684084
high_stress,0,cfc_closed,0.7112905086823287,0.6620831743941884,0.04920733428814028
high_stress,0,cfc_nojump,0.7109441428493656,0.6353110835058657,0.07563305934349984
high_stress,0,gru_closed,0.6132606580996884,0.530526019230769,0.08273463886891941
high_stress,0,oracle,0.6213276157972809,0.637246815701461,-0.015919199904180115
high_stress,1,cfc_closed,0.7984849711656838,0.760799644147901,0.03768532701778282
high_stress,1,cfc_nojump,0.8267155680449616,0.9043503066914498,-0.07763473864648818
high_stress,1,gru_closed,0.7868249958581216,0.7243836785555343,0.062441317302587285
high_stress,1,oracle,0.5652962115182287,0.45194677368062375,0.11334943783760498
high_stress,2,cfc_closed,0.8749388164428163,0.803236446650124,0.0717023697926924
high_stress,2,cfc_nojump,0.7331354318360027,0.8154047056091042,-0.08226927377310145
high_stress,2,gru_closed,0.8273268776685866,0.8008463189493431,0.026480558719243485
high_stress,2,oracle,0.6678105507246377,0.6513438235692057,0.01646672715543196
high_stress,3,cfc_closed,0.8588174306149257,0.6619883374896092,0.1968290931253165
