metric,regime,comparison,effect_abs_error_difference,effect_abs_error_lo,effect_abs_error_hi,level_abs_error_difference,level_abs_error_lo,level_abs_error_hi,closed_effect_mae,comparator_effect_mae,closed_level_mae,comparator_level_mae
goal_utility_ratio,high_mobility,cfc_closed - cfc_nojump,-0.0032757960210211268,-0.02287546768008697,0.014070628451268033,0.01618056910999784,-0.011088399264869264,0.055552630619083845,0.06779956276917427,0.0710753587901954,0.1136301997070227,0.09744963059702487
goal_utility_ratio,high_mobility,cfc_closed - cfc_openloop,0.028356085885257953,-0.027504532682509002,0.11693332369622574,0.024079941006229472,-0.028491522763042915,0.07675521364063459,0.06779956276917427,0.03944347688391633,0.1136301997070227,0.08955025870079324
goal_utility_ratio,high_mobility,cfc_closed - gru_closed,-0.004017992262956867,-0.0751501968371725,0.07715462800244044,0.030522556813519165,-0.010808581094224565,0.0705987196123081,0.06779956276917427,0.07181755503213115,0.1136301997070227,0.08310764289350354
goal_utility_ratio,high_stress,cfc_closed - cfc_nojump,-0.0010889752882480102,-0.017215656555378562,0.015385064493557995,-0.00544436658481424,-0.04766530319628009,0.030422511198652247,0.07321391988215208,0.07430289517040008,0.1954371867156257,0.20088155330043997
goal_utility_ratio,high_stress,cfc_closed - cfc_openloop,0.0317825577620916,0.0016357421413031499,0.07051851403090116,-0.0003543004142498492,-0.03187009161807088,0.04114629303304987,0.07321391988215208,0.04143136212006047,0.1954371867156257,0.1957914871298755
goal_utility_ratio,high_stress,cfc_closed - gru_closed,-0.011891654961858048,-0.027174772627697224,0.00124006941795111,0.03153820898133509,-0.03080568833954277,0.08406403830266322,0.07321391988215208,0.08510557484401012,0.1954371867156257,0.16389897773429063
goal_utility_ratio,id,cfc_closed - cfc_nojump,0.059013134752814174,-0.026569869341090773,0.19503675659446107,0.04265876189366704,0.017444550040835963,0.07437411408011324,0.11428571260842248,0.0552725778556083,0.10650502112031468,0.06384625922664763
goal_utility_ratio,id,cfc_closed - cfc_openloop,0.06042555619054225,-0.009627559529739002,0.1845783379406846,-0.015030784854642654,-0.07803441596634109,0.03744003304811205,0.11428571260842248,0.05386015641788023,0.10650502112031468,0.12153580597495733
goal_utility_ratio,id,cfc_closed - gru_closed,0.013824329149185513,-0.06760908025346228,0.08342854372444652,0.01493385301421917,-0.031535535526899076,0.06462782744046883,0.11428571260842248,0.10046138345923696,0.10650502112031468,0.09157116810609552
critical_success_rate,high_mobility,cfc_closed - cfc_nojump,0.002458652458652418,-0.007675657675657717,0.013736263736263687,0.009648684648684652,-0.014178876678876675,0.038057775557775564,0.10431721056721055,0.10185855810855814,0.12139145576645577,0.11174277111777113
critical_success_rate,high_mobility,cfc_closed - cfc_openloop,0.04337213712213711,-0.030150405150405162,0.15743631368631367,0.02423629611129612,-0.03472222222222221,0.08782444407444408,0.10431721056721055,0.06094507344507344,0.12139145576645577,0.09715515965515964
critical_success_rate,high_mobility,cfc_closed - gru_closed,0.007070013320013298,-0.043955118955119,0.07300916675916674,0.017450951825951855,-0.020464489214489196,0.05656022218522222,0.10431721056721055,0.09724719724719726,0.12139145576645577,0.10394050394050391
critical_success_rate,high_stress,cfc_closed - cfc_nojump,0.007279410404410362,-0.018376415251415406,0.03056908369408375,-0.03418173261923262,-0.08799978956228956,0.014451289451289448,0.09605452417952416,0.08877511377511382,0.21413800320050322,0.24831973581973585
critical_success_rate,high_stress,cfc_closed - cfc_openloop,0.011863864621217616,-0.05935686045980154,0.07595876345876347,-0.01974840586972937,-0.06749980343730343,0.03358785822021121,0.09605452417952416,0.08419065955830655,0.21413800320050322,0.23388640907023261
critical_success_rate,high_stress,cfc_closed - gru_closed,-0.02013276075776077,-0.0953558016058016,0.03477772227772221,0.01784390378140378,-0.055874969937469904,0.08614880489880487,0.09605452417952416,0.11618728493728496,0.21413800320050322,0.19629409941909945
critical_success_rate,id,cfc_closed - cfc_nojump,0.060091991341991356,0.0027777777777777866,0.16499819624819625,0.04810155122655122,0.015277777777777807,0.08421266233766234,0.13776455026455023,0.07767255892255888,0.13138227513227516,0.08328072390572391
critical_success_rate,id,cfc_closed - cfc_openloop,0.05165343915343915,-0.020833333333333315,0.17949735449735452,-0.019543650793650797,-0.1058531746031746,0.05069444444444446,0.13776455026455023,0.08611111111111108,0.13138227513227516,0.15092592592592594
critical_success_rate,id,cfc_closed - gru_closed,-0.002050264550264543,-0.08657407407407412,0.06283068783068786,-0.008895502645502632,-0.07321428571428573,0.04652777777777778,0.13776455026455023,0.13981481481481478,0.13138227513227516,0.14027777777777775
mean_latency,high_mobility,cfc_closed - cfc_nojump,0.008438148636105805,-0.03785436343308954,0.05997841088228898,-0.020171783648438326,-0.06666756407407838,0.025895834352541544,0.09702321205229458,0.08858506341618878,0.14310016783606372,0.16327195148450205
mean_latency,high_mobility,cfc_closed - cfc_openloop,0.05136883308768881,0.01728778389178544,0.09234628188229722,0.03516211373649366,-0.0412512405582009,0.1423977279709024,0.09702321205229458,0.04565437896460578,0.14310016783606372,0.10793805409957007
mean_latency,high_mobility,cfc_closed - gru_closed,-0.045391884188474195,-0.11626881272311347,0.025532449643278488,0.04583232794579505,-0.033906025670006355,0.15542048817199824,0.09702321205229458,0.14241509624076878,0.14310016783606372,0.09726783989026866
mean_latency,high_stress,cfc_closed - cfc_nojump,-0.11570381982155091,-0.1607153875550653,-0.062392728469091004,-0.10187335250244763,-0.16794343693654692,-0.0403336943086951,0.13801546452778088,0.2537192843493317,0.4179107681815959,0.5197841206840436
mean_latency,high_stress,cfc_closed - cfc_openloop,-0.0220738583537247,-0.07527460757561971,0.02275841498089794,-0.07886773271034143,-0.15046238928181452,-0.010830262137052885,0.13801546452778088,0.16008932288150557,0.4179107681815959,0.49677850089193737
mean_latency,high_stress,cfc_closed - gru_closed,0.04951371575792954,-0.02706476954416363,0.13680589574410715,0.004681026352821638,-0.0495182399927494,0.05857264367908086,0.13801546452778088,0.08850174876985133,0.4179107681815959,0.41322974182877426
mean_latency,id,cfc_closed - cfc_nojump,-0.0032471939383770243,-0.021017524582776188,0.008240890049803995,0.05431729017426753,-0.003603184815009227,0.1584518125472593,0.05805944928394696,0.06130664322232399,0.21505241617863366,0.16073512600436615
mean_latency,id,cfc_closed - cfc_openloop,-0.008093317281252075,-0.024282907302377615,0.0038201884101216887,0.1344635554413318,-0.030559985933003558,0.39472725490268984,0.05805944928394696,0.06615276656519904,0.21505241617863366,0.08058886073730187
mean_latency,id,cfc_closed - gru_closed,-0.010719831703727737,-0.06310346394981774,0.027438109714201648,0.12952634997788648,-0.020348884148610736,0.3944961586797587,0.05805944928394696,0.0687792809876747,0.21505241617863366,0.08552606620074721
