metric,regime,model,effect_mean,oracle_effect_mean,effect_bias,effect_mae,effect_rmse,effect_sign_agreement,effect_rank_corr
goal_utility_ratio,high_mobility,cfc_closed,0.02106721142722549,-0.03259350852812489,0.05366071995535038,0.06779956276917427,0.12425376584939828,0.5,0.028571428571428574
goal_utility_ratio,high_mobility,cfc_nojump,0.037474848880124645,-0.03259350852812489,0.07006835740824953,0.0710753587901954,0.11728431139830009,0.16666666666666666,-0.5428571428571429
goal_utility_ratio,high_mobility,cfc_openloop,0.0033761250850662394,-0.03259350852812489,0.03596963361319113,0.03944347688391633,0.048829696644610746,0.16666666666666666,0.4058397249567139
goal_utility_ratio,high_mobility,gru_closed,0.03416659847335366,-0.03259350852812489,0.06676010700147855,0.07181755503213115,0.0954699513986395,0.3333333333333333,-0.08571428571428573
goal_utility_ratio,high_mobility,oracle,-0.03259350852812489,-0.03259350852812489,0.0,0.0,0.0,1.0,1.0
goal_utility_ratio,high_stress,cfc_closed,0.04136292439460809,-0.0026747256162447295,0.04403765001085282,0.07321391988215208,0.08875576088913309,0.3333333333333333,-0.7142857142857143
goal_utility_ratio,high_stress,cfc_nojump,-0.009126314858284653,-0.0026747256162447295,-0.0064515892420399235,0.07430289517040008,0.0830906064006217,0.16666666666666666,-0.48571428571428577
goal_utility_ratio,high_stress,cfc_openloop,0.03561696786228885,-0.0026747256162447295,0.03829169347853358,0.04143136212006047,0.04550077525016608,0.5,0.8857142857142858
goal_utility_ratio,high_stress,gru_closed,0.0665954367103898,-0.0026747256162447295,0.06927016232663452,0.08510557484401012,0.09509407972347435,0.3333333333333333,0.08571428571428573
goal_utility_ratio,high_stress,oracle,-0.0026747256162447295,-0.0026747256162447295,0.0,0.0,0.0,1.0,1.0
goal_utility_ratio,id,cfc_closed,0.06415674221927684,-0.006619417000772908,0.07077615922004975,0.11428571260842248,0.17711803852348998,0.3333333333333333,0.028571428571428574
goal_utility_ratio,id,cfc_nojump,-0.024745229930157913,-0.006619417000772908,-0.018125812929385005,0.0552725778556083,0.0686265721273514,0.6666666666666666,0.4638168285219587
goal_utility_ratio,id,cfc_openloop,0.027457800101605534,-0.006619417000772908,0.03407721710237844,0.05386015641788023,0.06493263571599217,0.5,0.34786262139146906
goal_utility_ratio,id,gru_closed,0.0014394660918552644,-0.006619417000772908,0.008058883092628172,0.10046138345923696,0.1368239957455969,0.5,-0.23190841426097936
goal_utility_ratio,id,oracle,-0.006619417000772908,-0.006619417000772908,0.0,0.0,0.0,1.0,1.0
critical_success_rate,high_mobility,cfc_closed,0.035879629629629615,-0.05511756761756762,0.09099719724719724,0.10431721056721055,0.17675563415686774,0.5,-0.3388226069985336
critical_success_rate,high_mobility,cfc_nojump,0.04522583897583896,-0.05511756761756762,0.10034340659340658,0.10185855810855814,0.16689790328122142,0.16666666666666666,-0.6468431588153822
critical_success_rate,high_mobility,cfc_openloop,0.005827505827505815,-0.05511756761756762,0.06094507344507344,0.06094507344507344,0.08031471634779526,0.5,0.5144957554275265
critical_success_rate,high_mobility,gru_closed,0.04212962962962963,-0.05511756761756762,0.09724719724719726,0.09724719724719726,0.13555422416522614,0.3333333333333333,-0.5236349380886428
critical_success_rate,high_mobility,oracle,-0.05511756761756762,-0.05511756761756762,0.0,0.0,0.0,1.0,1.0
critical_success_rate,high_stress,cfc_closed,0.06578410015910018,-0.030270424020424003,0.09605452417952416,0.09605452417952416,0.12936530356402556,0.3333333333333333,-0.11595420713048968
critical_success_rate,high_stress,cfc_nojump,-0.014024170274170281,-0.030270424020424003,0.016246253746253724,0.08877511377511382,0.11178438893849964,0.16666666666666666,-0.6087595874350709
critical_success_rate,high_stress,cfc_openloop,0.053920235537882555,-0.030270424020424003,0.08419065955830655,0.08419065955830655,0.10274756308426937,0.3333333333333333,-0.08571428571428573
critical_success_rate,high_stress,gru_closed,0.08591686091686095,-0.030270424020424003,0.11618728493728496,0.11618728493728496,0.1484922963453744,0.5,-0.028571428571428574
critical_success_rate,high_stress,oracle,-0.030270424020424003,-0.030270424020424003,0.0,0.0,0.0,1.0,1.0
critical_success_rate,id,cfc_closed,0.07202380952380953,-0.004629629629629632,0.07665343915343915,0.13776455026455023,0.19039687777755,0.3333333333333333,0.030802055181684874
critical_success_rate,id,cfc_nojump,-0.007512626262626239,-0.004629629629629632,-0.0028829966329966075,0.07767255892255888,0.08661507260950216,0.5,0.492832882906958
critical_success_rate,id,cfc_openloop,0.0537037037037037,-0.004629629629629632,0.05833333333333333,0.08611111111111108,0.09837935729809799,0.5,0.6468431588153822
critical_success_rate,id,gru_closed,-0.017592592592592604,-0.004629629629629632,-0.012962962962962973,0.13981481481481478,0.18283461910258358,0.3333333333333333,-0.42647058823529416
critical_success_rate,id,oracle,-0.004629629629629632,-0.004629629629629632,0.0,0.0,0.0,1.0,1.0
mean_latency,high_mobility,cfc_closed,-0.025846449908261803,0.022447693954043075,-0.04829414386230488,0.09702321205229458,0.11383716415538411,0.16666666666666666,-0.14285714285714288
mean_latency,high_mobility,cfc_nojump,-0.015437302878402373,0.022447693954043075,-0.03788499683244545,0.08858506341618878,0.10124460557175995,0.0,-0.7714285714285715
mean_latency,high_mobility,cfc_openloop,0.008343548452159233,0.022447693954043075,-0.014104145501883844,0.04565437896460578,0.061368170923103635,0.3333333333333333,-0.3714285714285715
mean_latency,high_mobility,gru_closed,0.008617519157292688,0.022447693954043075,-0.013830174796750389,0.14241509624076878,0.19182356628365246,0.0,-0.942857142857143
mean_latency,high_mobility,oracle,0.022447693954043075,0.022447693954043075,0.0,0.0,0.0,1.0,1.0
mean_latency,high_stress,cfc_closed,-0.03312630005289322,-0.04708911740708869,0.013962817354195467,0.13801546452778088,0.15711026849788565,0.3333333333333333,-0.14285714285714288
mean_latency,high_stress,cfc_nojump,0.03950899187233326,-0.04708911740708869,0.08659810927942195,0.2537192843493317,0.264967824314844,0.3333333333333333,-0.5428571428571429
mean_latency,high_stress,cfc_openloop,0.05618505367704304,-0.04708911740708869,0.10327417108413173,0.16008932288150557,0.18880971201690133,0.16666666666666666,-0.3142857142857143
mean_latency,high_stress,gru_closed,-0.005011675406139032,-0.04708911740708869,0.04207744200094966,0.08850174876985133,0.11358607987958304,0.8333333333333334,0.4285714285714286
mean_latency,high_stress,oracle,-0.04708911740708869,-0.04708911740708869,0.0,0.0,0.0,1.0,1.0
mean_latency,id,cfc_closed,-0.011376622748324886,-0.04611712009003153,0.034740497341706644,0.05805944928394696,0.10338465837380895,0.6666666666666666,0.6571428571428573
mean_latency,id,cfc_nojump,-0.010390652496799454,-0.04611712009003153,0.03572646759323208,0.06130664322232399,0.10447436619530698,0.8333333333333334,-0.08571428571428573
mean_latency,id,cfc_openloop,0.019888441161468384,-0.04611712009003153,0.06600556125149991,0.06615276656519904,0.10785218718276249,0.8333333333333334,0.7142857142857143
mean_latency,id,gru_closed,-0.035025552144977636,-0.04611712009003153,0.011091567945053893,0.0687792809876747,0.10026923280661283,0.6666666666666666,-0.3714285714285715
mean_latency,id,oracle,-0.04611712009003153,-0.04611712009003153,0.0,0.0,0.0,1.0,1.0
