regime,model,goal_utility_ratio_mae,goal_utility_ratio_rmse,goal_utility_ratio_bias,critical_success_rate_mae,critical_success_rate_rmse,critical_success_rate_bias,mean_latency_mae,mean_latency_rmse,mean_latency_bias,events_mae,events_rmse,events_bias,outages_mae,outages_rmse,outages_bias,handovers_mae,handovers_rmse,handovers_bias,reroutes_mae,reroutes_rmse,reroutes_bias
high_mobility,cfc_closed,0.1136301997070227,0.1332693666237954,0.06119324692910322,0.12139145576645577,0.14551979635842144,0.0695675851925852,0.14310016783606375,0.174942564279803,0.013050505426530981,10.333333333333334,14.362857190220428,1.25,0.6666666666666666,0.7905694150420949,-0.16666666666666666,2.0416666666666665,2.286737122335374,-1.9583333333333333,1.6666666666666667,1.8819316317727024,-0.25
high_mobility,cfc_nojump,0.09744963059702487,0.11592056573381203,0.08189424768547754,0.11174277111777113,0.13341677692521575,0.08433892496392496,0.16327195148450205,0.1895700064077727,0.009938218094450196,9.208333333333334,15.615830642865804,3.5416666666666665,0.7083333333333334,0.8779711460710616,-0.2916666666666667,1.7083333333333333,1.9311050377094112,-1.7083333333333333,1.5833333333333333,1.7795130420052185,-0.5
high_mobility,cfc_openloop,0.08955025870079324,0.12273525289832019,0.08525352877712063,0.09715515965515964,0.13707835111437117,0.09715515965515964,0.10793805409957007,0.12395083217269377,-0.02642302357989923,10.333333333333334,13.438129830200829,-0.75,0.7916666666666666,0.924211375534118,-0.7083333333333334,2.0416666666666665,2.384848003542364,-2.0416666666666665,1.5416666666666667,1.7380544678845176,-1.4583333333333333
high_mobility,gru_closed,0.08310764289350354,0.1039524359433564,0.06392915638036131,0.10394050394050391,0.12929314815953333,0.07789247789247788,0.09726783989026866,0.11980859463022268,-0.034182535434217155,8.208333333333334,15.11414900019184,5.708333333333333,0.4583333333333333,0.6922186552431729,-0.2916666666666667,1.5416666666666667,1.8763883748662837,-1.4583333333333333,1.375,1.626601774661928,-0.5416666666666666
high_stress,cfc_closed,0.1954371867156257,0.22261594722187977,0.1954371867156257,0.21413800320050322,0.26126832361552327,0.21098143754393753,0.4179107681815959,0.5367613738084114,-0.39484594147328944,7.875,8.842369591913696,6.291666666666667,0.625,0.9013878188659973,-0.4583333333333333,1.4166666666666667,1.6583123951777,-1.3333333333333333,1.9166666666666667,3.0276503540974917,-1.3333333333333333
high_stress,cfc_nojump,0.2008815533004399,0.23898595852170065,0.2008815533004399,0.24831973581973585,0.29783038657719835,0.2360181485181485,0.5197841206840436,0.6228662086925469,-0.4910002387818028,8.458333333333334,10.734484927869929,4.458333333333333,0.6666666666666666,0.9789450103725609,-0.5,1.0833333333333333,1.4288690166235205,-0.9166666666666666,1.9166666666666667,3.082207001484488,-1.25
high_stress,cfc_openloop,0.1957914871298756,0.22361221116819668,0.1957914871298756,0.23388640907023261,0.2779617201469348,0.23388640907023261,0.49677850089193737,0.6323546039563434,-0.45827126759517195,6.916666666666667,7.591113225344488,2.4166666666666665,1.1666666666666667,1.2747548783981961,-1.1666666666666667,1.75,2.0,-1.75,2.8333333333333335,3.7527767497325675,-2.8333333333333335
high_stress,gru_closed,0.16389897773429066,0.1979657379434204,0.1537532389562008,0.1962940994190994,0.23864436844049522,0.16938813501313502,0.41322974182877426,0.5120350030056138,-0.4105583193722935,6.416666666666667,7.952986860293433,3.0,0.4583333333333333,0.5951190357119042,-0.375,1.75,2.0207259421636903,-1.5833333333333333,2.0416666666666665,2.832107577994405,-1.0416666666666667
id,cfc_closed,0.10650502112031468,0.12265984775338708,0.0106886954553899,0.13138227513227516,0.16319614310561564,0.04527116402116404,0.21505241617863366,0.3736307355694538,0.11935383568621462,5.0,7.945124291035352,0.6666666666666666,0.375,0.5590169943749475,-0.125,0.7916666666666666,0.924211375534118,-0.125,1.6666666666666667,2.516611478423583,0.4166666666666667
id,cfc_nojump,0.06384625922664762,0.08437067236986237,0.04199026170010093,0.08328072390572391,0.11641250377727318,0.048558501683501704,0.16073512600436612,0.2548712749549146,0.05448169332009869,7.208333333333333,10.39731535862343,0.5416666666666666,0.5,0.67700320038633,-0.08333333333333333,0.625,0.8539125638299665,-0.041666666666666664,1.0416666666666667,1.920286436967152,-0.125
id,cfc_openloop,0.12153580597495733,0.16907082594638162,0.08909770717770225,0.15092592592592594,0.21734521004433963,0.1125,0.08058886073730187,0.11335509796328756,-0.01000084995589095,7.708333333333333,10.0571284834854,4.875,0.7083333333333334,0.8779711460710616,-0.7083333333333334,0.9583333333333334,1.1086778913041726,-0.7916666666666666,0.7083333333333334,1.4648663192705789,-0.5416666666666666
id,gru_closed,0.09157116810609549,0.14860992392014194,0.07108401864652236,0.14027777777777778,0.21826629354327556,0.09629629629629631,0.08552606620074721,0.11037288778002287,-0.03373132248201537,5.375,7.922804638089553,-1.9583333333333333,0.25,0.3535533905932738,0.08333333333333333,0.625,0.7772815877574012,-0.2916666666666667,0.7916666666666666,1.479019945774904,-0.041666666666666664
