policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
throughput,210,7555679276808456583,415,60.0,03d03c0a606e9a1d21cc65ad02e6b8aebbd1dfac13149fdd8b52ebdcdac3389d,134,45,89,134,45,89,88,21,67,61.019999999999975,55.130283999999996,29.462972000000004,349.0800000000002,312.0,1,8,3.8459985019566716,21,9,0,0,0.4666666666666667,0.7528089887640449,0.6567164179104478,0.48284123238282556,0.08440177609716966
throughput,211,11534381855236882674,451,60.0,e637840a2fb5970a51f4b907d1a3d098a502a4d0c447f7c26d66abf62078d0ce,146,48,98,146,48,98,104,28,76,65.64000000000001,58.904812000000035,37.16569199999998,379.6200000000002,342.0,2,6,3.5777012560943935,25,9,0,0,0.5833333333333334,0.7755102040816326,0.7123287671232876,0.5662049360146247,0.09790235498656541
throughput,212,2757588003752368340,454,60.0,ad9ab49c798f5f05c74cff4d0cda2b7a22a492bfedd6f21f7cfe4a8dbc3aa21c,146,44,102,146,44,102,106,23,83,62.35999999999998,57.50087599999998,34.58446399999999,389.06000000000034,350.0,2,9,3.369276743707471,27,9,0,0,0.5227272727272727,0.8137254901960784,0.726027397260274,0.554593713919179,0.08889236621600771
throughput,213,11958805813686550474,425,60.0,ff844a5562a78be451a9d4b27d66394f5a337f80b70dd1c2a75c34dd911b121f,137,53,84,137,53,84,122,42,80,68.12,61.73983599999997,50.985255999999985,337.7600000000002,305.0,0,11,1.4046538975040803,10,9,0,0,0.7924528301886793,0.9523809523809523,0.8905109489051095,0.7484623605402229,0.15095113690194206
throughput,214,9894625642988107866,384,60.0,df9c2e84fea2e4531ab4e4d69636ba75d171e6b6f26dbffbf8960b77584c1449,123,47,76,123,47,76,103,32,71,60.67999999999998,54.83414399999995,39.72278399999999,306.1400000000001,275.0,0,12,1.7937719562328223,11,6,0,0,0.6808510638297872,0.9342105263157895,0.8373983739837398,0.6546272907053395,0.12975365519043566
