policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
semantic,215,2253342491011478098,486,60.0,0e99bc9ac79539d07abdba74148d91cf9cff513477d21bfe56cc83f4bbc440ed,158,46,112,158,46,112,120,34,86,66.16000000000001,61.681167999999886,46.05401199999992,427.1800000000005,382.0,0,9,3.1448785972182907,23,9,0,0,0.7391304347826086,0.7678571428571429,0.759493670886076,0.696100544135428,0.10780938246172542
semantic,216,9364473966574802564,420,60.0,fbed32bfa8c8eb7bce71004c2c07fabbfcb9c72fc73c0d115ec37ef52e3bcd83,135,44,91,135,44,91,119,34,85,60.37999999999998,55.147052000000016,44.84313200000001,358.9400000000004,317.0,0,12,1.6398212623251953,13,7,0,0,0.7727272727272727,0.9340659340659341,0.8814814814814815,0.7426818814176884,0.12493211121635918
semantic,217,8410012962337579049,359,60.0,1fb6774245837ed52f14546ef4feea788e0155399412461add86ebb0a679e107,116,35,81,116,35,81,98,26,72,49.579999999999984,44.16120800000002,34.50528000000003,306.6200000000001,278.0,1,6,2.093840967411246,12,9,0,0,0.7428571428571429,0.8888888888888888,0.8448275862068966,0.69595159338443,0.11253434218250608
semantic,218,2034587588095477639,393,60.0,e48594afef5be82d14a5386c88b2784cc423b0b10dc965ee0efac6a6035cbccd,125,43,82,125,43,82,94,27,67,57.75999999999998,52.840751999999995,35.158092,322.1200000000002,289.0,1,13,2.8981442673499496,18,9,0,0,0.627906976744186,0.8170731707317073,0.752,0.6086927285318563,0.1091459456103315
semantic,219,1957088638311228419,441,60.0,7f97a72bf6c8d27f93c2388892140c732249f919db10157dbaba8d1d5425b7bb,141,40,101,141,40,101,104,23,81,58.17999999999997,52.62599199999999,33.56624800000003,384.5800000000003,343.0,1,13,3.150326026168873,25,9,0,0,0.575,0.801980198019802,0.7375886524822695,0.5769379168099011,0.08728027458526184
