policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
semantic,210,7555679276808456583,377,60.0,dd6b893a8749f1f3cf974367ba8cef9df500f4604dd1b25852d8c3be9ab75070,121,43,78,121,43,78,117,41,76,57.039999999999985,52.059888000000015,49.95712800000001,315.5200000000002,277.0,1,9,1.1028939309422856,6,5,0,0,0.9534883720930233,0.9743589743589743,0.9669421487603306,0.8758262272089766,0.15833268255578087
semantic,211,11534381855236882674,430,60.0,1a18fac239811e2545a3054f40528732e5fbb4eeb385fae686503e40e38b2338,139,40,99,139,40,99,128,34,94,57.81999999999997,51.91732000000003,45.87291200000004,375.8800000000003,337.0,1,8,1.7626889222475353,17,9,0,0,0.85,0.9494949494949495,0.920863309352518,0.7933744725008659,0.1220413749068852
semantic,212,2757588003752368340,480,60.0,4a5b527cad822863aae8b3a4baebb706b4fd7e3694391401ce622398db97e622,156,45,111,156,45,111,119,25,94,64.97999999999996,59.392852000000026,38.077412000000024,418.50000000000034,378.0,1,7,2.870923774067404,23,9,0,0,0.5555555555555556,0.8468468468468469,0.7628205128205128,0.5859866420437064,0.09098545280764633
semantic,213,11958805813686550474,402,60.0,0bb659ebde688bdbe64beae2d40c41a9eb7a1689034b507eaa82ad4f59baf6e2,129,48,81,129,48,81,119,43,76,62.57999999999998,57.564435999999986,52.29597199999999,323.2200000000002,291.0,2,8,0.9687368295211704,9,9,0,0,0.8958333333333334,0.9382716049382716,0.9224806201550387,0.8356658996484502,0.16179683187921526
semantic,214,9894625642988107866,418,60.0,34e609d8a5e1ec6a0a45355e26c6d762522ec1af24b3599ef100ae13b454cbd8,136,42,94,136,42,94,97,27,70,58.91999999999997,53.977576000000006,36.00126400000001,357.66000000000025,324.0,0,7,3.502267611581772,20,9,0,0,0.6428571428571429,0.7446808510638298,0.7132352941176471,0.6110194161575022,0.10065778672482242
