condition,policy,n,goal_utility_mean,goal_utility_ci_low,goal_utility_ci_high,critical_success_mean,critical_success_ci_low,critical_success_ci_high,mean_latency,semantic_efficiency,energy
no_outage,throughput,20,0.8783270569566499,0.870739605956171,0.8859145079571289,0.9922703782006108,0.9845589571494481,0.9999817992517736,0.6111822372535988,0.14759721533776807,352.58100000000024
no_outage,semantic,20,0.8777614921737765,0.8706819354280333,0.8848410489195198,0.9908008563573768,0.98237396596614,0.9992277467486136,0.617895349591582,0.15091803413079344,352.0500000000002
moderate_outage,throughput,30,0.7994736266968503,0.7719483697013455,0.8269988836923551,0.8698250729020077,0.8319479128758362,0.9077022329281792,1.225857570096972,0.13941979189692205,354.1226666666669
moderate_outage,qos,30,0.7895011908701718,0.7616145000322118,0.8173878817081318,0.8521141896414195,0.8145145740004336,0.8897138052824054,1.3081991434170912,0.1357641712305151,354.45200000000017
moderate_outage,semantic,30,0.826380279090015,0.8115386748914462,0.8412218832885838,0.9051990646691586,0.8862281472173865,0.9241699821209306,1.1486212326947403,0.14202021694504854,354.66933333333344
severe_outage,throughput,20,0.6733683404197635,0.627298790215608,0.7194378906239189,0.6876529853766259,0.6316561546639204,0.7436498160893313,2.17109369799991,0.11398471680114423,358.0180000000003
severe_outage,semantic,20,0.7101695760381042,0.658083610276492,0.7622555417997163,0.740575679609871,0.6760248378751208,0.8051265213446213,2.200118272156188,0.11803459933400902,365.24900000000025
