metric,regime,model,effect_mean,effect_ci_lo,effect_ci_hi,effect_bias_mean,effect_bias_ci_lo,effect_bias_ci_hi,effect_mae,effect_rmse,sign_agreement,level_mae,level_rmse
goal_utility_ratio,id,oracle,-0.04701994058433484,-0.11670966760445504,-0.0032302315587135143,,,,,,,,
goal_utility_ratio,id,mechanistic_calibrated,0.049685769883986805,0.006820689655172396,0.1028747443235849,0.09670571046832165,0.036111339378803994,0.1573000815578393,0.09670571046832165,0.11893760770388036,0.2,0.0858040682128441,0.10311010869716562
goal_utility_ratio,id,residual_quarter,0.017729845601172523,0.0017252205924647602,0.034372495715778495,0.06474978618550736,0.021143405505085887,0.12698623575651072,0.06474978618550736,0.08903993311629776,0.2,0.0705177512656779,0.0833924712856131
goal_utility_ratio,id,residual_idcal,0.00407324164027989,-0.002838709677419393,0.012710413550443934,0.05109318222461473,0.00543485891153912,0.1184348881969198,0.05109318222461473,0.08444264070541939,0.4,0.060055426180724014,0.06313975285706895
goal_utility_ratio,id,residual_predictive,0.009920823673481849,0.0017252205924647602,0.018116426754498937,0.05694076425781669,0.01712059514164005,0.12036227281230442,0.05694076425781669,0.0851227885806317,0.0,0.13556239279813984,0.15957438548709868
goal_utility_ratio,high_mobility,oracle,-0.030321128144706465,-0.08508485739119431,0.0009204301075268262,,,,,,,,
goal_utility_ratio,high_mobility,mechanistic_calibrated,0.007411156656143158,-0.002597272030651343,0.020090437832759166,0.03773228480084963,0.005080493080529403,0.08894455102018368,0.04032955683150097,0.06332215164324002,0.2,0.11781587981301293,0.15352667660177555
goal_utility_ratio,high_mobility,residual_quarter,0.01820504460181378,-0.0038959080459770147,0.05851104185141835,0.04852617274652025,0.0008022065445746129,0.10118905943310781,0.05112344477717159,0.07502209677797826,0.4,0.1036352799261991,0.1415210156072725
goal_utility_ratio,high_mobility,residual_idcal,-0.032060944007528416,-0.10808524137931033,0.011902409356725086,-0.0017398158628219474,-0.10128628422885841,0.08554507244495772,0.07031701172338493,0.10177598933515651,0.4,0.12632547142448283,0.1798731227043539
goal_utility_ratio,high_mobility,residual_predictive,0.023525339931375934,-0.008563560004907388,0.07396923076923083,0.0538464680760824,0.0004656767154370467,0.10722725943672776,0.0565315010380647,0.08274478698986854,0.2,0.034883179697689594,0.04615944195563819
goal_utility_ratio,high_stress,oracle,0.04663547499500868,-0.018732478033794207,0.15100752439897272,,,,,,,,
goal_utility_ratio,high_stress,mechanistic_calibrated,-0.08024028230497082,-0.2091198509868864,0.04669988171797348,-0.12687575729997952,-0.3511514950358297,0.05201450235656124,0.1791403207066018,0.26131900544179437,0.4,0.14851802515611476,0.17058417011340826
goal_utility_ratio,high_stress,residual_quarter,-0.019699356258436183,-0.0679569558978322,0.016605685049050557,-0.06633483125344487,-0.16000004053305414,0.0041397054622607675,0.07072459776576669,0.11525433400542083,0.8,0.11088887573179225,0.12903964141623822
goal_utility_ratio,high_stress,residual_idcal,0.008770516178185205,-0.050963944917066906,0.057932034971889125,-0.03786495881682348,-0.20041686440018253,0.061308092510334936,0.10340831199792899,0.16439290797659606,0.4,0.14016461879636208,0.14891822000702418
goal_utility_ratio,high_stress,residual_predictive,-0.0623704329952526,-0.148353422842197,-0.00517311470795212,-0.10900590799026129,-0.2932022163342004,0.007212985691216156,0.12395466586938626,0.21542555046649506,0.2,0.16926474544180148,0.20937254188889023
goal_utility_ratio,weak_channel,oracle,0.010094395920022658,-0.07027253389063044,0.07481796323810441,,,,,,,,
goal_utility_ratio,weak_channel,mechanistic_calibrated,0.009863628451912331,-0.009947926765475113,0.03953881212121211,-0.00023076746811032667,-0.07624656799493992,0.0808195138175593,0.05586552608879998,0.08445963810461664,0.4,0.0911842432233339,0.11763371122132063
goal_utility_ratio,weak_channel,residual_quarter,-0.011247604421477231,-0.07166958139534882,0.043464235097374224,-0.02134200034149989,-0.10124339037366767,0.06307056119799578,0.08253401414564296,0.10058996411343875,0.2,0.10493725703276144,0.13816732332147075
goal_utility_ratio,weak_channel,residual_idcal,-0.04847625421661785,-0.1812180349015775,0.042421223428707355,-0.05857065013664051,-0.12318141963552301,0.0014996338171827882,0.06270290806729847,0.09271373543535869,0.6,0.12634462552093714,0.16546677675863086
goal_utility_ratio,weak_channel,residual_predictive,-0.0764503555976329,-0.18657392083300622,0.02977420688963548,-0.08654475151765556,-0.21146804519844134,-0.0008502783658722812,0.09159240338770748,0.15160461658916208,0.4,0.06054777348312601,0.08369211646392008
critical_success_rate,id,oracle,-0.075,-0.175,0.0,,,,,,,,
critical_success_rate,id,mechanistic_calibrated,0.039999999999999994,0.0,0.11999999999999997,0.11499999999999999,0.025,0.205,0.11499999999999999,0.15370426148939398,0.4,0.14083333333333334,0.20834999933338666
critical_success_rate,id,residual_quarter,0.016666666666666673,0.0,0.050000000000000024,0.09166666666666667,0.016666666666666673,0.175,0.09166666666666667,0.13043729868748774,0.4,0.1791666666666667,0.23826630759159664
critical_success_rate,id,residual_idcal,0.0,0.0,0.0,0.075,0.0,0.175,0.075,0.125,0.6,0.11916666666666664,0.19820373917316045
critical_success_rate,id,residual_predictive,0.0,0.0,0.0,0.075,0.0,0.175,0.075,0.125,0.6,0.20249999999999999,0.23945830070761334
critical_success_rate,high_mobility,oracle,-0.03333333333333335,-0.10000000000000005,0.0,,,,,,,,
critical_success_rate,high_mobility,mechanistic_calibrated,0.008333333333333349,0.0,0.025000000000000043,0.0416666666666667,0.0,0.10833333333333339,0.0416666666666667,0.07682953714410744,0.6,0.14583333333333334,0.2389938399949998
critical_success_rate,high_mobility,residual_quarter,0.03333333333333335,0.0,0.10000000000000005,0.0666666666666667,0.0,0.1333333333333334,0.0666666666666667,0.10540925533894603,0.6,0.13333333333333336,0.23570226039551584
critical_success_rate,high_mobility,residual_idcal,-0.025,-0.15,0.075,0.008333333333333349,-0.125,0.12500000000000006,0.10833333333333335,0.14553540997144152,0.4,0.17916666666666667,0.2703521366251389
critical_success_rate,high_mobility,residual_predictive,0.05,0.0,0.15,0.08333333333333334,0.0,0.18333333333333335,0.08333333333333334,0.1343709624716425,0.6,0.06666666666666668,0.11023963796102462
critical_success_rate,high_stress,oracle,0.058333333333333334,-0.049999999999999954,0.22499999999999995,,,,,,,,
critical_success_rate,high_stress,mechanistic_calibrated,-0.13166666666666665,-0.365,0.08666666666666671,-0.18999999999999997,-0.5733333333333333,0.12000000000000002,0.31,0.43630392057728645,0.2,0.23666666666666664,0.27243755655603397
critical_success_rate,high_stress,residual_quarter,-0.05500000000000001,-0.1,-0.010000000000000009,-0.11333333333333333,-0.31333333333333335,0.013333333333333286,0.12666666666666665,0.22852182001336813,0.6,0.19999999999999996,0.2350827277553348
critical_success_rate,high_stress,residual_idcal,0.11499999999999999,0.0,0.315,0.05666666666666666,-0.19499999999999998,0.31666666666666665,0.20666666666666664,0.2839698732064528,0.2,0.18833333333333332,0.23000603856807278
