metric,model,effect_mae,effect_mae_lo,effect_mae_hi,effect_bias,level_mae
goal_utility_ratio,mechanistic_calibrated,0.09301027852380608,0.04932920882657874,0.14351535429395423,0.0018328676252703595,0.11083055410132645
goal_utility_ratio,residual_quarter,0.06728296071852215,0.038960255350312854,0.09817324010423557,0.006399781834270713,0.09749479098910767
goal_utility_ratio,residual_idcal,0.07188035350330678,0.036677780677413764,0.11300380341651325,-0.011770560647917802,0.11322253548062652
goal_utility_ratio,residual_predictive,0.08225483363824379,0.037312771891180936,0.13743581379845898,-0.02119085679350444,0.10006452285518923
critical_success_rate,mechanistic_calibrated,0.12791666666666665,0.0625,0.20625,-0.007083333333333319,0.1589583333333333
critical_success_rate,residual_quarter,0.09708333333333333,0.04750000000000001,0.15500000000000003,0.0020833333333333454,0.15520833333333334
critical_success_rate,residual_idcal,0.11708333333333334,0.06458333333333333,0.17333333333333337,0.023750000000000004,0.14770833333333333
critical_success_rate,residual_predictive,0.11636904761904762,0.0536904761904762,0.19083333333333333,-0.020535714285714275,0.1706845238095238
mean_latency,mechanistic_calibrated,0.10117346017408704,0.06104206352825706,0.1485541432419386,-0.008834445245705652,0.1264709696275832
mean_latency,residual_quarter,0.08879790623765785,0.049675246445948125,0.13531186748950258,0.004578699570786518,0.13242988180273962
mean_latency,residual_idcal,0.08555029316161536,0.04502299343056247,0.13799608034005592,-0.009588121241941108,0.10807388107458116
mean_latency,residual_predictive,0.06828943078380519,0.0407986230612153,0.09619284382083355,0.040817160936832374,0.10696343549806198
